x-axis,1,2
second,Volt,Volt
-2.470000E-03,,
-2.467500E-03,+541.677136E-03,+532.087526E-03
-2.465000E-03,+561.777638E-03,+543.184678E-03
-2.462500E-03,+541.677136E-03,+538.997073E-03
-2.460000E-03,+560.416667E-03,+545.278480E-03
-2.457500E-03,+562.405779E-03,+536.275130E-03
-2.455000E-03,+541.677136E-03,+545.906621E-03
-2.452500E-03,+549.947655E-03,+543.079988E-03
-2.450000E-03,+524.403267E-03,+546.639452E-03
-2.447500E-03,+541.677136E-03,+538.892383E-03
-2.445000E-03,+561.777638E-03,+541.719016E-03
-2.442500E-03,+541.677136E-03,+530.621864E-03
-2.440000E-03,+534.662898E-03,+546.639452E-03
-2.437500E-03,+541.677136E-03,+542.661227E-03
-2.435000E-03,+552.669598E-03,+535.646990E-03
-2.432500E-03,+561.672948E-03,+526.643640E-03
-2.430000E-03,+561.777638E-03,+557.841294E-03
-2.427500E-03,+541.677136E-03,+528.737442E-03
-2.425000E-03,+548.481994E-03,+539.834594E-03
-2.422500E-03,+537.384841E-03,+542.347157E-03
-2.420000E-03,+561.777638E-03,+541.928397E-03
-2.417500E-03,+541.677136E-03,+526.538949E-03
-2.415000E-03,+541.677136E-03,+561.505448E-03
-2.412500E-03,+541.677136E-03,+535.018849E-03
-2.410000E-03,+542.200587E-03,+526.538949E-03
-2.407500E-03,+552.250838E-03,+537.112651E-03
-2.405000E-03,+581.878141E-03,+528.109301E-03
-2.402500E-03,+534.244138E-03,+533.971948E-03
-2.400000E-03,+558.113484E-03,+526.538949E-03
-2.397500E-03,+556.438442E-03,+546.639452E-03
-2.395000E-03,+556.019682E-03,+546.639452E-03
-2.392500E-03,+558.532245E-03,+529.784343E-03
-2.390000E-03,+566.174623E-03,+514.290206E-03
-2.387500E-03,+561.777638E-03,+526.538949E-03
-2.385000E-03,+551.622697E-03,+526.538949E-03
-2.382500E-03,+522.518845E-03,+545.697241E-03
-2.380000E-03,+533.615997E-03,+538.578313E-03
-2.377500E-03,+541.677136E-03,+546.639452E-03
-2.375000E-03,+533.511307E-03,+526.538949E-03
-2.372500E-03,+546.806952E-03,+531.668765E-03
-2.370000E-03,+529.323702E-03,+546.639452E-03
-2.367500E-03,+548.900754E-03,+526.538949E-03
-2.365000E-03,+559.997906E-03,+528.318681E-03
-2.362500E-03,+520.110972E-03,+535.856370E-03
-2.360000E-03,+541.677136E-03,+507.066588E-03
-2.357500E-03,+541.677136E-03,+546.639452E-03
-2.355000E-03,+539.269263E-03,+528.946822E-03
