x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
+18.60000E-06,+1.34519471042E+00,+1.11064696626E+00,+941.95975247E-03,+934.54772385E-03
+18.62500E-06,+1.34645099181E+00,+1.04532033380E+00,+1.00979894772E+00,+1.03128139116E+00
+18.65000E-06,+1.34519471042E+00,+1.03150123847E+00,+1.01608035469E+00,+997.36179353E-03
+18.67500E-06,+1.33640074066E+00,+1.02396355011E+00,+1.00979894772E+00,+999.87435632E-03
+18.70000E-06,+1.32509420812E+00,+1.00763189199E+00,+1.02613060584E+00,+1.01118088886E+00
+18.72500E-06,+1.36529521272E+00,+1.00511932920E+00,+1.01105522912E+00,+1.00866832607E+00
+18.75000E-06,+1.35901380575E+00,+1.01768214314E+00,+1.01733663608E+00,+1.00489948189E+00
+18.77500E-06,+1.36529521272E+00,+1.01516958035E+00,+1.02110548026E+00,+1.00238691911E+00
+18.80000E-06,+1.36529521272E+00,+1.27773239161E+00,+1.05376879650E+00,+1.05515073764E+00
+18.82500E-06,+1.34645099181E+00,+1.32421480317E+00,+1.01105522912E+00,+991.08038656E-03
+18.85000E-06,+1.37911430805E+00,+1.35939068219E+00,+1.00979894772E+00,+1.01746229583E+00
+18.87500E-06,+1.33640074066E+00,+1.36567208916E+00,+1.00979894772E+00,+1.01118088886E+00
+18.90000E-06,+1.32509420812E+00,+1.31290827063E+00,+989.69844542E-03,+1.02374370280E+00
+18.92500E-06,+1.32509420812E+00,+1.32798364735E+00,+1.01105522912E+00,+992.33666796E-03
+18.95000E-06,+1.35147611739E+00,+1.37949118449E+00,+1.01608035469E+00,+991.08038656E-03
+18.97500E-06,+1.37660174526E+00,+1.33426505432E+00,+1.00100497797E+00,+1.00238691911E+00
+19.00000E-06,+1.36152636854E+00,+1.14833540807E+00,+965.82909895E-03,+934.54772385E-03
+19.02500E-06,+1.34519471042E+00,+1.08426505700E+00,+1.02989945002E+00,+991.08038656E-03
+19.05000E-06,+1.36529521272E+00,+1.00386304781E+00,+1.02989945002E+00,+1.01118088886E+00
+19.07500E-06,+1.34770727321E+00,+1.02396355011E+00,+1.00979894772E+00,+1.00238691911E+00
+19.10000E-06,+1.33263189648E+00,+1.01516958035E+00,+1.02989945002E+00,+1.02374370280E+00
+19.12500E-06,+1.34645099181E+00,+1.02396355011E+00,+989.69844542E-03,+1.01118088886E+00
+19.15000E-06,+1.34519471042E+00,+1.01768214314E+00,+1.00226125936E+00,+1.01118088886E+00
+19.17500E-06,+1.34519471042E+00,+1.02396355011E+00,+1.00728638493E+00,+1.01997485862E+00
+19.20000E-06,+1.36529521272E+00,+1.28527007997E+00,+1.05753764068E+00,+1.05138189346E+00
+19.22500E-06,+1.32635048952E+00,+1.32672736596E+00,+1.01105522912E+00,+989.82410517E-03
+19.25000E-06,+1.35147611739E+00,+1.37195349613E+00,+995.97985239E-03,+1.01118088886E+00
+19.27500E-06,+1.35650124296E+00,+1.35687811940E+00,+1.01859291748E+00,+1.01118088886E+00
+19.30000E-06,+1.33263189648E+00,+1.36190324498E+00,+1.04246226396E+00,+1.01494973304E+00
+19.32500E-06,+1.34519471042E+00,+1.32547108456E+00,+1.01105522912E+00,+1.01118088886E+00
+19.35000E-06,+1.36529521272E+00,+1.35939068219E+00,+1.02236176166E+00,+1.00489948189E+00
+19.37500E-06,+1.36529521272E+00,+1.35436555662E+00,+1.00979894772E+00,+991.08038656E-03
+19.40000E-06,+1.34896355460E+00,+1.13577259413E+00,+949.49744083E-03,+963.44219591E-03
+19.42500E-06,+1.36655149411E+00,+1.08175249421E+00,+992.21100821E-03,+1.03002510976E+00
+19.45000E-06,+1.34519471042E+00,+1.01014445478E+00,+1.02361804305E+00,+1.00489948189E+00
+19.47500E-06,+1.35398868017E+00,+1.00637561060E+00,+1.01231151051E+00,+1.01118088886E+00
+19.50000E-06,+1.36529521272E+00,+1.01140073617E+00,+1.02613060584E+00,+1.02751254698E+00
+19.52500E-06,+1.36529521272E+00,+1.02270726871E+00,+1.01105522912E+00,+1.01243717026E+00
+19.55000E-06,+1.34519471042E+00,+1.02396355011E+00,+1.02989945002E+00,+1.01118088886E+00
