x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
+39.40000E-06,+1.36796481302E+00,+1.03021357395E+00,+1.32364949770E+00,+22.29271550E-03
+39.42500E-06,+1.35288943630E+00,+1.03021357395E+00,+1.33369974885E+00,-7.85803795E-03
+39.45000E-06,+1.32776380843E+00,+1.02016332280E+00,+1.34375000000E+00,+11.23743923E-03
+39.47500E-06,+1.34283918515E+00,+1.03021357395E+00,+1.34375000000E+00,+4.20226343E-03
+39.50000E-06,+1.34786431072E+00,+1.03021357395E+00,+1.37390075345E+00,+8.22236389E-03
+39.52500E-06,+1.36293968745E+00,+1.02016332280E+00,+1.32364949770E+00,+8.22236389E-03
+39.55000E-06,+1.37298993859E+00,+1.03523869952E+00,+1.32867462328E+00,+6.21231366E-03
+39.57500E-06,+1.36293968745E+00,+1.01011307165E+00,+1.36385050230E+00,+8.22236389E-03
+39.60000E-06,+1.35288943630E+00,+1.27141960151E+00,+1.35380025115E+00,-9.86808818E-03
+39.62500E-06,+1.37298993859E+00,+1.36187186185E+00,+1.36385050230E+00,+30.33291642E-03
+39.65000E-06,+1.34786431072E+00,+1.35182161070E+00,+1.32867462328E+00,+182.16297E-06
+39.67500E-06,+1.34283918515E+00,+1.33172110841E+00,+1.32364949770E+00,+8.22236389E-03
+39.70000E-06,+1.34283918515E+00,+1.35182161070E+00,+1.33872487443E+00,+9.22738900E-03
+39.72500E-06,+1.33278893400E+00,+1.37192211300E+00,+1.34375000000E+00,+6.21231366E-03
+39.75000E-06,+1.34786431072E+00,+1.36689698743E+00,+1.37892587902E+00,+8.22236389E-03
+39.77500E-06,+1.38304018974E+00,+1.33172110841E+00,+1.36385050230E+00,+12.24246435E-03
+39.80000E-06,+1.36293968745E+00,+1.04026382510E+00,+1.34375000000E+00,+15.25753969E-03
+39.82500E-06,+1.34283918515E+00,+1.01011307165E+00,+1.35380025115E+00,-19.91833933E-03
+39.85000E-06,+1.38304018974E+00,+1.05031407624E+00,+1.36385050230E+00,+25.30779084E-03
+39.87500E-06,+1.38304018974E+00,+1.03021357395E+00,+1.34375000000E+00,+182.16297E-06
+39.90000E-06,+1.36293968745E+00,+1.03021357395E+00,+1.36385050230E+00,+8.22236389E-03
+39.92500E-06,+1.36293968745E+00,+1.03021357395E+00,+1.35380025115E+00,+4.20226343E-03
+39.95000E-06,+1.34283918515E+00,+1.03021357395E+00,+1.34375000000E+00,+7.21733877E-03
+39.97500E-06,+1.32273868285E+00,+1.05031407624E+00,+1.36385050230E+00,+8.22236389E-03
+40.00000E-06,+1.33278893400E+00,+1.28146985266E+00,+1.36385050230E+00,-14.89321375E-03
+40.02500E-06,+1.36293968745E+00,+1.35182161070E+00,+1.33369974885E+00,+30.33291642E-03
+40.05000E-06,+1.36293968745E+00,+1.37192211300E+00,+1.35380025115E+00,-4.84296260E-03
+40.07500E-06,+1.38304018974E+00,+1.37192211300E+00,+1.34375000000E+00,+8.22236389E-03
+40.10000E-06,+1.36293968745E+00,+1.34177135956E+00,+1.34877512557E+00,+10.23241412E-03
+40.12500E-06,+1.36293968745E+00,+1.35182161070E+00,+1.34375000000E+00,+6.21231366E-03
+40.15000E-06,+1.33278893400E+00,+1.35182161070E+00,+1.34877512557E+00,+15.25753969E-03
+40.17500E-06,+1.36293968745E+00,+1.33172110841E+00,+1.34375000000E+00,+12.24246435E-03
+40.20000E-06,+1.34283918515E+00,+1.06036432739E+00,+1.35380025115E+00,+32.34296665E-03
+40.22500E-06,+1.34283918515E+00,+1.01011307165E+00,+1.36385050230E+00,-5.84798772E-03
+40.25000E-06,+1.34283918515E+00,+1.03523869952E+00,+1.34375000000E+00,+8.22236389E-03
+40.27500E-06,+1.34283918515E+00,+1.01011307165E+00,+1.32364949770E+00,+8.22236389E-03
+40.30000E-06,+1.37298993859E+00,+1.03021357395E+00,+1.35882537672E+00,+4.20226343E-03
+40.32500E-06,+1.36293968744E+00,+1.02016332280E+00,+1.36385050230E+00,+8.22236389E-03
+40.35000E-06,+1.34283918515E+00,+1.01513819722E+00,+1.35882537672E+00,+11.23743923E-03
+40.37500E-06,+1.36293968745E+00,+1.03021357395E+00,+1.32364949770E+00,+8.22236389E-03
+40.40000E-06,+1.34283918515E+00,+1.29654522939E+00,+1.34375000000E+00,-12.88316352E-03
+40.42500E-06,+1.36293968745E+00,+1.35182161070E+00,+1.33369974885E+00,+28.32286619E-03
+40.45000E-06,+1.35791456187E+00,+1.35182161070E+00,+1.32364949770E+00,+3.19723832E-03
+40.47500E-06,+1.34283918515E+00,+1.35182161070E+00,+1.32364949770E+00,+12.24246435E-03
+40.50000E-06,+1.34786431072E+00,+1.33674623398E+00,+1.33872487443E+00,+9.22738900E-03
+40.52500E-06,+1.34283918515E+00,+1.35182161070E+00,+1.34375000000E+00,+8.22236389E-03
+40.55000E-06,+1.36293968745E+00,+1.36187186185E+00,+1.35882537672E+00,+12.24246435E-03
+40.57500E-06,+1.34283918515E+00,+1.35182161070E+00,+1.32364949770E+00,+4.20226343E-03
+40.60000E-06,+1.36293968745E+00,+1.05533920182E+00,+1.33872487442E+00,+17.26758992E-03
+40.62500E-06,+1.34283918515E+00,+1.02016332280E+00,+1.35380025115E+00,-7.85803795E-03
+40.65000E-06,+1.36293968745E+00,+1.01513819722E+00,+1.34375000000E+00,+9.22738900E-03
+40.67500E-06,+1.36293968745E+00,+1.03021357395E+00,+1.34375000000E+00,+4.20226343E-03
+40.70000E-06,+1.34786431072E+00,+1.01513819723E+00,+1.32364949770E+00,+9.22738900E-03
+40.72500E-06,+1.35288943630E+00,+1.04026382510E+00,+1.35380025115E+00,+8.22236389E-03
+40.75000E-06,+1.33781405957E+00,+1.02016332280E+00,+1.32867462328E+00,+4.20226343E-03
+40.77500E-06,+1.34283918515E+00,+1.03021357395E+00,+1.32364949770E+00,+4.20226343E-03
+40.80000E-06,+1.34283918515E+00,+1.30157035496E+00,+1.32867462328E+00,-9.86808818E-03
+40.82500E-06,+1.36293968745E+00,+1.35182161070E+00,+1.36385050230E+00,+26.31281596E-03
+40.85000E-06,+1.35791456187E+00,+1.35182161070E+00,+1.34375000000E+00,+2.19221320E-03
+40.87500E-06,+1.34283918515E+00,+1.37192211300E+00,+1.34375000000E+00,+8.22236389E-03
+40.90000E-06,+1.35791456187E+00,+1.37192211300E+00,+1.35882537672E+00,+4.20226343E-03
+40.92500E-06,+1.38304018974E+00,+1.37192211300E+00,+1.35380025115E+00,+8.22236389E-03
+40.95000E-06,+1.38304018974E+00,+1.34679648513E+00,+1.37892587902E+00,+12.24246435E-03
+40.97500E-06,+1.38304018974E+00,+1.35182161070E+00,+1.34375000000E+00,+8.22236389E-03
+41.00000E-06,+1.34283918515E+00,+1.05533920182E+00,+1.32364949770E+00,+20.28266527E-03
+41.02500E-06,+1.34283918515E+00,+1.03021357395E+00,+1.33369974885E+00,-3.83793749E-03
+41.05000E-06,+1.34786431072E+00,+1.02518844837E+00,+1.34375000000E+00,+12.24246435E-03
+41.07500E-06,+1.34283918515E+00,+1.03021357395E+00,+1.38395100459E+00,+8.22236389E-03
+41.10000E-06,+1.37298993859E+00,+1.05533920182E+00,+1.33872487442E+00,+8.22236389E-03
+41.12500E-06,+1.37298993859E+00,+1.03021357395E+00,+1.34375000000E+00,+4.20226343E-03
+41.15000E-06,+1.33278893400E+00,+1.01513819722E+00,+1.37390075345E+00,+5.20728855E-03
+41.17500E-06,+1.34283918515E+00,+1.01011307165E+00,+1.34375000000E+00,+4.20226343E-03
+41.20000E-06,+1.34283918515E+00,+1.29152010382E+00,+1.34877512558E+00,-14.89321375E-03
+41.22500E-06,+1.38304018975E+00,+1.36187186185E+00,+1.33369974885E+00,+32.34296665E-03
+41.25000E-06,+1.34786431072E+00,+1.34679648513E+00,+1.36385050230E+00,-822.86214E-06
+41.27500E-06,+1.36293968744E+00,+1.35182161071E+00,+1.32364949771E+00,+12.24246435E-03
+41.30000E-06,+1.32776380843E+00,+1.37192211300E+00,+1.32867462328E+00,+12.24246435E-03
+41.32500E-06,+1.35288943630E+00,+1.35182161070E+00,+1.34375000000E+00,+8.22236389E-03
+41.35000E-06,+1.35791456187E+00,+1.35182161070E+00,+1.33369974885E+00,+12.24246435E-03
+41.37500E-06,+1.38304018974E+00,+1.37192211300E+00,+1.34375000000E+00,+8.22236389E-03
+41.40000E-06,+1.36293968745E+00,+1.04026382509E+00,+1.33872487442E+00,+20.28266527E-03
+41.42500E-06,+1.35288943630E+00,+1.02016332280E+00,+1.36385050230E+00,-7.85803795E-03
+41.45000E-06,+1.36293968745E+00,+1.01513819722E+00,+1.37390075345E+00,+9.22738900E-03
+41.47500E-06,+1.36293968745E+00,+1.03021357395E+00,+1.34375000000E+00,+4.20226343E-03
+41.50000E-06,+1.36796481302E+00,+1.02518844837E+00,+1.32867462328E+00,+10.23241412E-03
+41.52500E-06,+1.34283918515E+00,+1.03021357395E+00,+1.34375000000E+00,+4.20226343E-03
+41.55000E-06,+1.35791456187E+00,+1.03021357395E+00,+1.34375000000E+00,+4.20226343E-03
+41.57500E-06,+1.32273868285E+00,+1.03021357395E+00,+1.34375000000E+00,+4.20226343E-03
+41.60000E-06,+1.33278893400E+00,+1.26639447594E+00,+1.32867462328E+00,-14.89321375E-03
+41.62500E-06,+1.39309044089E+00,+1.36187186185E+00,+1.35380025115E+00,+28.32286619E-03
+41.65000E-06,+1.35791456187E+00,+1.35182161070E+00,+1.36385050230E+00,+4.20226343E-03
+41.67500E-06,+1.34283918515E+00,+1.35182161070E+00,+1.34375000000E+00,+16.26256481E-03
+41.70000E-06,+1.34283918515E+00,+1.35182161070E+00,+1.35882537672E+00,+13.24748946E-03
+41.72500E-06,+1.34283918515E+00,+1.34177135956E+00,+1.35380025115E+00,+10.23241412E-03
+41.75000E-06,+1.36293968745E+00,+1.36689698743E+00,+1.35380025115E+00,+12.24246435E-03
