x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
+71.52000E-06,+1.01953509438E+00,+1.00722360262E+00,+244.28391457E-03,+14.19594331E-03
+71.54500E-06,+1.03837931529E+00,+1.04114320024E+00,+275.69094941E-03,-15.32666944E-03
+71.57000E-06,+1.27958534285E+00,+1.25219847436E+00,+183.98240767E-03,-35.42717174E-03
+71.59500E-06,+1.29089187540E+00,+1.33134420216E+00,+278.83165289E-03,+30.52760143E-03
+71.62000E-06,+1.33863056835E+00,+1.37154520676E+00,+234.86180411E-03,+26.13061655E-03
+71.64500E-06,+1.35119338229E+00,+1.38033917651E+00,+248.68089944E-03,+65.07533975E-03
+71.67000E-06,+1.31978634745E+00,+1.33134420216E+00,+205.33919136E-03,-53.01511125E-03
+71.69500E-06,+1.33109287999E+00,+1.34265073470E+00,+238.63064830E-03,+30.52760143E-03
+71.72000E-06,+1.33863056835E+00,+1.33134420216E+00,+253.70602502E-03,-4.64827759E-03
+71.74500E-06,+1.28837931261E+00,+1.36275123700E+00,+235.48994481E-03,+24.87433515E-03
+71.77000E-06,+1.07732403849E+00,+1.05119345139E+00,+303.32914006E-03,+65.07533975E-03
+71.79500E-06,+1.04968584783E+00,+1.02104269795E+00,+204.08290997E-03,-15.32666944E-03
+71.82000E-06,+1.01953509438E+00,+1.00973616540E+00,+256.21858781E-03,+15.45222470E-03
+71.84500E-06,+1.02079137578E+00,+1.04114320024E+00,+188.37939255E-03,-4.02013690E-03
+71.87000E-06,+959.23358749E-03,+1.00973616540E+00,+265.01255756E-03,+65.70348045E-03
+71.89500E-06,+998.17831069E-03,+1.02104269795E+00,+235.48994481E-03,-6.53269968E-03
+71.92000E-06,+998.17831069E-03,+1.00973616540E+00,+222.92713088E-03,+35.55272700E-03
+71.94500E-06,+1.04717328504E+00,+1.01853013516E+00,+232.97738202E-03,+4.77383286E-03
+71.97000E-06,+1.28084162425E+00,+1.25219847437E+00,+184.61054837E-03,-15.95481014E-03
+71.99500E-06,+1.30847981491E+00,+1.33134420216E+00,+258.73115059E-03,+44.97483745E-03
+72.02000E-06,+1.37883157295E+00,+1.35018842306E+00,+236.11808551E-03,+26.13061655E-03
+72.04500E-06,+1.39139438688E+00,+1.29993716732E+00,+244.28391457E-03,+29.27132003E-03
+72.07000E-06,+1.28084162425E+00,+1.33008792077E+00,+263.75627617E-03,-15.32666944E-03
+72.09500E-06,+1.35998735204E+00,+1.33134420216E+00,+218.53014600E-03,+44.97483745E-03
+72.12000E-06,+1.29842956376E+00,+1.37154520676E+00,+273.80652732E-03,+4.77383286E-03
+72.14500E-06,+1.32858031720E+00,+1.32255023241E+00,+232.97738202E-03,+29.27132003E-03
+72.17000E-06,+1.07732403849E+00,+1.04993717000E+00,+304.58542146E-03,+65.07533975E-03
+72.19500E-06,+1.06727378734E+00,+1.02104269795E+00,+189.63567395E-03,-26.63320198E-03
+72.22000E-06,+1.01953509438E+00,+1.03109294910E+00,+264.38441686E-03,+4.77383286E-03
+72.24500E-06,+1.03837931529E+00,+1.01853013516E+00,+239.88692969E-03,-19.72365432E-03
+72.27000E-06,+1.03963559668E+00,+1.00973616540E+00,+265.01255756E-03,+45.60297815E-03
+72.29500E-06,+1.00948484324E+00,+1.03863063746E+00,+244.28391457E-03,-20.97993571E-03
+72.32000E-06,+1.01953509438E+00,+1.00973616540E+00,+244.28391457E-03,+24.87433515E-03
+72.34500E-06,+1.02958534553E+00,+1.00973616540E+00,+259.98743199E-03,+376.84798E-06
+72.37000E-06,+1.24189690105E+00,+1.25219847437E+00,+184.61054837E-03,-35.42717174E-03
+72.39500E-06,+1.33737428696E+00,+1.30244973011E+00,+264.38441686E-03,+44.97483745E-03
