x-axis,1,2,3
second,Volt,Volt,Volt
-10.20000E-06,,,
-10.15000E-06,-29.89973128E-03,-15.57787508E-03,+648.17844890E-03
-10.10000E-06,+37.93946397E-03,-28.14068901E-03,+645.03774542E-03
-10.05000E-06,+50.50227791E-03,-95.97988427E-03,+636.24377566E-03
-10.00000E-06,-2.26154062E-03,+1.21809045342E+00,+607.97744431E-03
-9.95000E-06,-29.89973128E-03,+2.22814069386E+00,+648.17844890E-03
-9.90000E-06,-17.33691734E-03,+2.07487436384E+00,+648.17844890E-03
-9.85000E-06,-14.82435455E-03,+2.15527637303E+00,+640.01261984E-03
-9.80000E-06,-57.53792194E-03,+1.05728643504E+00,+687.75131280E-03
-9.75000E-06,+42.96458955E-03,-8.04018672E-03,+664.51010702E-03
-9.70000E-06,+50.50227791E-03,-3.01506114E-03,+631.21865009E-03
-9.65000E-06,-44.97510800E-03,+32.16081788E-03,+624.30910242E-03
-9.60000E-06,-2.26154062E-03,+1.27085427195E+00,+621.79653964E-03
-9.55000E-06,-29.89973128E-03,+2.07487436384E+00,+648.17844890E-03
-9.50000E-06,+63.06509185E-03,+2.08743717778E+00,+628.07794660E-03
-9.45000E-06,-29.89973128E-03,+2.12261305680E+00,+648.17844890E-03
-9.40000E-06,-57.53792194E-03,+1.03216080717E+00,+667.65081050E-03
-9.35000E-06,-29.89973128E-03,-15.57787508E-03,+650.06287099E-03
-9.30000E-06,+50.50227791E-03,-28.14068901E-03,+645.03774542E-03
-9.25000E-06,+50.50227791E-03,-63.31656803E-03,+640.01261984E-03
-9.20000E-06,+50.50227791E-03,+1.13768844423E+00,+647.55030820E-03
-9.15000E-06,-22.36204292E-03,+2.14773868467E+00,+648.17844890E-03
-9.10000E-06,+37.93946398E-03,+2.16783918696E+00,+631.21865009E-03
-9.05000E-06,+17.83896168E-03,+2.18793968926E+00,+660.11312214E-03
-9.00000E-06,+22.86408725E-03,+1.05728643504E+00,+648.17844890E-03
-8.95000E-06,-110.30174047E-03,-15.57787508E-03,+650.06287099E-03
-8.90000E-06,+37.93946398E-03,-95.97988427E-03,+648.17844890E-03
-8.85000E-06,-62.56304751E-03,-502.49835E-06,+632.47493148E-03
-8.80000E-06,-2.26154062E-03,+1.19045226276E+00,+634.98749427E-03
-8.75000E-06,+42.96458955E-03,+2.14773868467E+00,+611.74628849E-03
-8.70000E-06,+50.50227791E-03,+2.15527637303E+00,+631.21865009E-03
-8.65000E-06,-62.56304751E-03,+2.18793968926E+00,+636.24377566E-03
-8.60000E-06,+47.98971512E-03,+1.05728643504E+00,+667.65081050E-03
-8.55000E-06,-29.89973128E-03,+57.28644575E-03,+609.86186640E-03
-8.50000E-06,-29.89973128E-03,-95.97988427E-03,+648.17844890E-03
-8.45000E-06,-29.89973128E-03,+32.16081788E-03,+656.34427796E-03
-8.40000E-06,+50.50227791E-03,+1.13768844423E+00,+628.07794660E-03
-8.35000E-06,-29.89973128E-03,+2.07487436384E+00,+628.07794660E-03
-8.30000E-06,-29.89973128E-03,+2.14271355909E+00,+631.21865009E-03
-8.25000E-06,+2.76358495E-03,+2.12261305680E+00,+648.17844890E-03
-8.20000E-06,-29.89973128E-03,+976.88442585E-03,+661.36940353E-03
-8.15000E-06,-29.89973128E-03,+57.28644575E-03,+664.51010702E-03
-8.10000E-06,-17.33691734E-03,-15.57787508E-03,+631.21865009E-03
-8.05000E-06,-29.89973128E-03,-15.57787508E-03,+640.01261984E-03
-8.00000E-06,-29.89973128E-03,+1.24321608129E+00,+614.88699197E-03
-7.95000E-06,+50.50227791E-03,+2.08241205220E+00,+648.17844890E-03
-7.90000E-06,-29.89973128E-03,+2.21055275435E+00,+648.17844890E-03
-7.85000E-06,-29.89973128E-03,+2.15527637303E+00,+628.07794660E-03
-7.80000E-06,+22.86408725E-03,+1.08492462570E+00,+661.36940353E-03
-7.75000E-06,-37.43741964E-03,-15.57787508E-03,+646.29402681E-03
-7.70000E-06,-29.89973128E-03,-15.57787508E-03,+645.03774542E-03
-7.65000E-06,-110.30174047E-03,-63.31656803E-03,+648.17844890E-03
-7.60000E-06,-2.26154062E-03,+1.19045226276E+00,+628.07794660E-03
-7.55000E-06,+42.96458955E-03,+2.07487436384E+00,+628.07794660E-03
-7.50000E-06,-29.89973128E-03,+2.14271355909E+00,+631.21865009E-03
-7.45000E-06,-47.48767079E-03,+2.07487436384E+00,+628.07794660E-03
-7.40000E-06,-32.41229407E-03,+1.08492462570E+00,+641.26890124E-03
-7.35000E-06,-29.89973128E-03,-8.04018672E-03,+648.17844890E-03
-7.30000E-06,-29.89973128E-03,-15.57787508E-03,+628.07794660E-03
-7.25000E-06,-29.89973128E-03,-15.57787508E-03,+624.30910242E-03
-7.20000E-06,-2.26154062E-03,+1.24321608129E+00,+621.79653964E-03
-7.15000E-06,+42.96458955E-03,+2.07487436384E+00,+648.17844890E-03
-7.10000E-06,-17.33691734E-03,+2.16783918696E+00,+648.17844890E-03
-7.05000E-06,+50.50227791E-03,+2.15527637303E+00,+636.24377566E-03
-7.00000E-06,-4.77410341E-03,+976.88442585E-03,+681.46990583E-03
-6.95000E-06,-22.36204292E-03,+57.28644575E-03,+628.07794660E-03
-6.90000E-06,-17.33691734E-03,-70.85425640E-03,+628.07794660E-03
-6.85000E-06,+17.83896168E-03,-48.24119131E-03,+640.01261984E-03
-6.80000E-06,-135.42736834E-03,+1.27085427195E+00,+594.78648967E-03
-6.75000E-06,-29.89973128E-03,+2.08241205220E+00,+646.29402681E-03
-6.70000E-06,-17.33691734E-03,+2.15527637303E+00,+631.21865009E-03
-6.65000E-06,+50.50227791E-03,+2.17035174975E+00,+648.17844890E-03
-6.60000E-06,-29.89973128E-03,+1.00201005372E+00,+674.56035817E-03
-6.55000E-06,-14.82435455E-03,+57.28644575E-03,+666.39452911E-03
-6.50000E-06,-29.89973128E-03,-15.57787508E-03,+631.21865009E-03
-6.45000E-06,-29.89973128E-03,-502.49835E-06,+644.40960472E-03
-6.40000E-06,+25.37665004E-03,+1.24321608129E+00,+621.79653964E-03
-6.35000E-06,-29.89973128E-03,+2.08994974056E+00,+650.06287099E-03
-6.30000E-06,-17.33691734E-03,+2.07487436384E+00,+661.99754423E-03
-6.25000E-06,+17.83896168E-03,+2.15527637303E+00,+656.34427796E-03
-6.20000E-06,+22.86408725E-03,+1.05728643504E+00,+667.65081050E-03
-6.15000E-06,+50.50227791E-03,-15.57787508E-03,+648.17844890E-03
-6.10000E-06,+37.93946398E-03,-15.57787508E-03,+611.11814779E-03
-6.05000E-06,-29.89973128E-03,-48.24119131E-03,+648.17844890E-03
-6.00000E-06,-2.26154062E-03,+1.24321608129E+00,+641.26890124E-03
-5.95000E-06,-37.43741964E-03,+2.07487436384E+00,+628.07794660E-03
-5.90000E-06,-29.89973128E-03,+2.15527637303E+00,+614.25885127E-03
-5.85000E-06,+50.50227791E-03,+2.12261305680E+00,+648.17844890E-03
-5.80000E-06,-57.53792194E-03,+1.03216080717E+00,+668.27895120E-03
-5.75000E-06,+50.50227791E-03,-15.57787508E-03,+646.29402681E-03
-5.70000E-06,-29.89973128E-03,-28.14068901E-03,+648.17844890E-03
-5.65000E-06,-29.89973128E-03,-95.97988427E-03,+640.01261984E-03
-5.60000E-06,-55.02535915E-03,+1.19045226276E+00,+634.98749427E-03
-5.55000E-06,-22.36204292E-03,+2.08241205220E+00,+611.74628849E-03
-5.50000E-06,-17.33691734E-03,+2.07487436384E+00,+648.17844890E-03
-5.45000E-06,+50.50227791E-03,+2.15527637303E+00,+644.40960472E-03
-5.40000E-06,-57.53792194E-03,+1.02964824438E+00,+687.75131280E-03
-5.35000E-06,-14.82435455E-03,-8.04018672E-03,+628.07794660E-03
-5.30000E-06,-17.33691734E-03,-70.85425640E-03,+641.89704193E-03
-5.25000E-06,-77.63842423E-03,-15.57787508E-03,+619.91211755E-03
-5.20000E-06,+50.50227791E-03,+1.19045226276E+00,+628.07794660E-03
-5.15000E-06,+42.96458955E-03,+2.14773868467E+00,+629.96236869E-03
-5.10000E-06,-17.33691734E-03,+2.22311556828E+00,+611.11814779E-03
-5.05000E-06,+17.83896168E-03,+2.18793968926E+00,+628.07794660E-03
-5.00000E-06,+22.86408725E-03,+1.00201005372E+00,+668.27895120E-03
-4.95000E-06,-22.36204292E-03,+57.28644575E-03,+666.39452911E-03
-4.90000E-06,-29.89973128E-03,+52.26132018E-03,+648.17844890E-03
-4.85000E-06,+2.76358495E-03,+32.16081788E-03,+628.07794660E-03
-4.80000E-06,-2.26154062E-03,+1.24321608129E+00,+628.07794660E-03
-4.75000E-06,+42.96458955E-03,+2.14773868467E+00,+666.39452911E-03
-4.70000E-06,-17.33691734E-03,+2.15527637303E+00,+634.35935357E-03
-4.65000E-06,+17.83896168E-03,+2.12261305680E+00,+668.27895120E-03
-4.60000E-06,-29.89973128E-03,+976.88442585E-03,+674.56035817E-03
-4.55000E-06,-29.89973128E-03,+57.28644575E-03,+629.96236869E-03
-4.50000E-06,+105.77865923E-03,-83.41707033E-03,+628.07794660E-03
-4.45000E-06,+2.76358495E-03,-15.57787508E-03,+636.24377566E-03
-4.40000E-06,-55.02535915E-03,+1.21809045342E+00,+634.98749427E-03
-4.35000E-06,-29.89973128E-03,+2.15527637303E+00,+646.29402681E-03
-4.30000E-06,-29.89973128E-03,+2.08743717778E+00,+648.17844890E-03
-4.25000E-06,+17.83896168E-03,+2.15527637303E+00,+636.24377566E-03
-4.20000E-06,+22.86408725E-03,+1.03216080717E+00,+661.36940353E-03
-4.15000E-06,-29.89973128E-03,-15.57787508E-03,+700.94226743E-03
-4.10000E-06,-17.33691734E-03,-95.97988427E-03,+631.21865009E-03
-4.05000E-06,-29.89973128E-03,-63.31656803E-03,+636.24377566E-03
-4.00000E-06,-2.26154062E-03,+1.11005025357E+00,+621.79653964E-03
-3.95000E-06,+35.42690119E-03,+2.07487436384E+00,+629.96236869E-03
-3.90000E-06,+37.93946397E-03,+2.14271355909E+00,+634.35935357E-03
-3.85000E-06,+17.83896168E-03,+2.18793968926E+00,+636.24377566E-03
-3.80000E-06,-4.77410341E-03,+1.05728643504E+00,+667.65081050E-03
-3.75000E-06,+50.50227791E-03,-15.57787508E-03,+628.07794660E-03
-3.70000E-06,-29.89973128E-03,-83.41707033E-03,+648.17844890E-03
-3.65000E-06,+2.76358495E-03,+32.16081788E-03,+640.01261984E-03
-3.60000E-06,+50.50227791E-03,+1.11005025357E+00,+634.98749427E-03
-3.55000E-06,+42.96458955E-03,+2.08241205220E+00,+628.07794660E-03
-3.50000E-06,+63.06509185E-03,+2.22311556828E+00,+628.07794660E-03
-3.45000E-06,+2.76358495E-03,+2.15527637303E+00,+668.27895120E-03
-3.40000E-06,-4.77410341E-03,+1.00452261651E+00,+674.56035817E-03
-3.35000E-06,-22.36204292E-03,-15.57787508E-03,+648.17844890E-03
-3.30000E-06,-29.89973128E-03,-83.41707033E-03,+665.13824771E-03
-3.25000E-06,-77.63842423E-03,-63.31656803E-03,+656.34427796E-03
-3.20000E-06,-55.02535915E-03,+1.24321608129E+00,+628.07794660E-03
-3.15000E-06,+42.96458955E-03,+2.15527637303E+00,+648.17844890E-03
-3.10000E-06,-29.89973128E-03,+2.14271355909E+00,+628.07794660E-03
-3.05000E-06,+17.83896168E-03,+2.18793968926E+00,+648.17844890E-03
-3.00000E-06,-29.89973128E-03,+976.88442585E-03,+681.46990583E-03
-2.95000E-06,-168.09068457E-03,-88.44219591E-03,+646.29402681E-03
-2.90000E-06,+37.93946397E-03,-95.97988427E-03,+648.17844890E-03
-2.85000E-06,+2.76358495E-03,-15.57787508E-03,+628.07794660E-03
-2.80000E-06,-2.26154062E-03,+1.24321608129E+00,+614.88699197E-03
-2.75000E-06,-37.43741964E-03,+2.07487436384E+00,+628.07794660E-03
-2.70000E-06,-17.33691734E-03,+2.21055275435E+00,+628.07794660E-03
-2.65000E-06,+17.83896168E-03,+2.15527637303E+00,+636.24377566E-03
-2.60000E-06,+22.86408725E-03,+1.08492462570E+00,+667.65081050E-03
