x-axis,1,2,3
second,Volt,Volt,Volt
-10.20000E-06,,,
-10.15000E-06,-102.76405211E-03,+57.28644575E-03,+105.46488687E-03
-10.10000E-06,-17.33691734E-03,-83.41707033E-03,+105.46488687E-03
-10.05000E-06,-29.89973128E-03,+32.16081788E-03,+105.46488687E-03
-10.00000E-06,+22.86408725E-03,+1.21809045342E+00,+58.98247531E-03
-9.95000E-06,-37.43741964E-03,+2.14773868467E+00,+83.47996249E-03
-9.90000E-06,-17.33691734E-03,+2.14271355909E+00,+102.32418339E-03
-9.85000E-06,+2.76358495E-03,+2.23567838222E+00,+97.29905782E-03
-9.80000E-06,-29.89973128E-03,+976.88442585E-03,+131.84679614E-03
-9.75000E-06,-29.89973128E-03,-15.57787508E-03,+87.24880667E-03
-9.70000E-06,-97.73892653E-03,-83.41707033E-03,+85.36438458E-03
-9.65000E-06,-29.89973128E-03,+32.16081788E-03,+85.36438458E-03
-9.60000E-06,+50.50227791E-03,+1.19045226276E+00,+65.89202298E-03
-9.55000E-06,-29.89973128E-03,+2.07487436384E+00,+85.36438458E-03
-9.50000E-06,-42.46254521E-03,+2.14271355909E+00,+85.36438458E-03
-9.45000E-06,-29.89973128E-03,+2.07487436384E+00,+65.26388228E-03
-9.40000E-06,-29.89973128E-03,+1.08241206291E+00,+98.55533921E-03
-9.35000E-06,+50.50227791E-03,-15.57787508E-03,+85.36438458E-03
-9.30000E-06,-29.89973128E-03,-95.97988427E-03,+119.28398220E-03
-9.25000E-06,-29.89973128E-03,-15.57787508E-03,+85.36438458E-03
-9.20000E-06,-29.89973128E-03,+1.24321608129E+00,+78.45483691E-03
-9.15000E-06,-22.36204292E-03,+2.07487436384E+00,+69.03272646E-03
-9.10000E-06,+50.50227791E-03,+2.15527637303E+00,+105.46488687E-03
-9.05000E-06,-29.89973128E-03,+2.15527637303E+00,+97.29905782E-03
-9.00000E-06,+22.86408725E-03,+951.75879798E-03,+118.65584151E-03
-8.95000E-06,-37.43741964E-03,-15.57787508E-03,+83.47996249E-03
-8.90000E-06,-110.30174047E-03,-83.41707033E-03,+102.32418339E-03
-8.85000E-06,+17.83896168E-03,-95.97988427E-03,+89.13322876E-03
-8.80000E-06,+22.86408725E-03,+1.21557789063E+00,+72.17342994E-03
-8.75000E-06,+50.50227791E-03,+2.07487436384E+00,+87.24880667E-03
-8.70000E-06,-17.33691734E-03,+2.15527637303E+00,+82.22368109E-03
-8.65000E-06,+17.83896168E-03,+2.15527637303E+00,+105.46488687E-03
-8.60000E-06,-110.30174047E-03,+1.05728643504E+00,+118.65584151E-03
-8.55000E-06,-29.89973128E-03,-15.57787508E-03,+125.56538917E-03
-8.50000E-06,+37.93946398E-03,-163.81907952E-03,+99.18347991E-03
-8.45000E-06,+17.83896168E-03,-48.24119131E-03,+93.53021363E-03
-8.40000E-06,-29.89973128E-03,+1.24321608129E+00,+78.45483691E-03
-8.35000E-06,+58.03996627E-03,+2.08994974056E+00,+103.58046478E-03
-8.30000E-06,+37.93946398E-03,+2.08743717777E+00,+85.36438458E-03
-8.25000E-06,+17.83896168E-03,+2.12261305680E+00,+93.53021363E-03
-8.20000E-06,-4.77410341E-03,+1.08492462570E+00,+111.74629384E-03
-8.15000E-06,-29.89973128E-03,-15.57787508E-03,+83.47996249E-03
-8.10000E-06,-165.57812179E-03,-15.57787508E-03,+99.18347991E-03
-8.05000E-06,-14.82435455E-03,-48.24119131E-03,+97.29905782E-03
-8.00000E-06,+22.86408725E-03,+1.21809045342E+00,+65.26388228E-03
-7.95000E-06,-22.36204292E-03,+2.07487436384E+00,+103.58046478E-03
-7.90000E-06,+50.50227791E-03,+2.16783918696E+00,+105.46488687E-03
-7.85000E-06,+17.83896168E-03,+2.10753768007E+00,+97.29905782E-03
-7.80000E-06,-4.77410341E-03,+1.00452261651E+00,+111.74629384E-03
-7.75000E-06,+42.96458955E-03,-80.90450754E-03,+107.34930896E-03
-7.70000E-06,-85.17611260E-03,-15.57787508E-03,+82.22368109E-03
-7.65000E-06,-62.56304751E-03,-48.24119131E-03,+93.53021363E-03
-7.60000E-06,-82.66354981E-03,+1.19045226276E+00,+58.35433461E-03
-7.55000E-06,-22.36204292E-03,+2.08994974056E+00,+67.14830437E-03
-7.50000E-06,-29.89973128E-03,+2.22311556828E+00,+88.50508806E-03
-7.45000E-06,+2.76358495E-03,+2.18793968926E+00,+93.53021363E-03
-7.40000E-06,+22.86408725E-03,+1.05728643504E+00,+111.74629384E-03
-7.35000E-06,-29.89973128E-03,-23.11556344E-03,+83.47996249E-03
-7.30000E-06,-17.33691734E-03,-95.97988427E-03,+85.36438458E-03
-7.25000E-06,-95.22636374E-03,-63.31656803E-03,+85.36438458E-03
-7.20000E-06,-2.26154062E-03,+1.16281407210E+00,+72.17342994E-03
-7.15000E-06,-29.89973128E-03,+2.08241205220E+00,+85.36438458E-03
-7.10000E-06,+105.77865923E-03,+2.15527637303E+00,+85.36438458E-03
-7.05000E-06,-29.89973128E-03,+2.14020099630E+00,+93.53021363E-03
-7.00000E-06,-29.89973128E-03,+924.12060732E-03,+112.37443454E-03
-6.95000E-06,+42.96458955E-03,+57.28644575E-03,+105.46488687E-03
-6.90000E-06,+50.50227791E-03,-70.85425640E-03,+102.32418339E-03
-6.85000E-06,-44.97510800E-03,-15.57787508E-03,+105.46488687E-03
-6.80000E-06,-2.26154062E-03,+1.19045226276E+00,+58.98247531E-03
-6.75000E-06,+50.50227791E-03,+2.14773868467E+00,+50.81664625E-03
-6.70000E-06,-29.89973128E-03,+2.15527637303E+00,+85.36438458E-03
-6.65000E-06,-29.89973128E-03,+2.10753768007E+00,+97.29905782E-03
-6.60000E-06,-29.89973128E-03,+1.00452261651E+00,+118.65584151E-03
-6.55000E-06,-29.89973128E-03,-15.57787508E-03,+101.69604269E-03
-6.50000E-06,+37.93946398E-03,-15.57787508E-03,+82.22368109E-03
-6.45000E-06,+17.83896168E-03,-502.49835E-06,+69.03272646E-03
-6.40000E-06,-29.89973128E-03,+1.24321608129E+00,+58.98247531E-03
-6.35000E-06,-29.89973128E-03,+2.15527637303E+00,+101.69604269E-03
-6.30000E-06,-17.33691734E-03,+2.14271355909E+00,+85.36438458E-03
-6.25000E-06,+17.83896168E-03,+2.15527637303E+00,+77.19855552E-03
-6.20000E-06,-29.89973128E-03,+1.02964824438E+00,+118.65584151E-03
-6.15000E-06,+42.96458955E-03,-15.57787508E-03,+87.24880667E-03
-6.10000E-06,-29.89973128E-03,-83.41707033E-03,+122.42468569E-03
-6.05000E-06,+50.50227791E-03,-15.57787508E-03,+97.29905782E-03
-6.00000E-06,-110.30174047E-03,+1.32361809048E+00,+58.98247531E-03
-5.95000E-06,-22.36204292E-03,+2.08241205220E+00,+65.26388228E-03
-5.90000E-06,-42.46254521E-03,+2.15527637303E+00,+85.36438458E-03
-5.85000E-06,+17.83896168E-03,+2.12261305680E+00,+85.36438458E-03
-5.80000E-06,-57.53792194E-03,+1.11005025357E+00,+105.46488687E-03
-5.75000E-06,-37.43741964E-03,-15.57787508E-03,+83.47996249E-03
-5.70000E-06,-165.57812179E-03,-15.57787508E-03,+88.50508806E-03
-5.65000E-06,-29.89973128E-03,-48.24119131E-03,+97.29905782E-03
-5.60000E-06,+22.86408725E-03,+1.19045226276E+00,+52.07292765E-03
-5.55000E-06,-22.36204292E-03,+2.08241205220E+00,+103.58046478E-03
-5.50000E-06,+37.93946398E-03,+2.08743717778E+00,+105.46488687E-03
-5.45000E-06,-110.30174047E-03,+2.15527637303E+00,+65.26388228E-03
-5.40000E-06,-2.26154062E-03,+976.88442585E-03,+112.37443454E-03
-5.35000E-06,+42.96458955E-03,-15.57787508E-03,+105.46488687E-03
-5.30000E-06,-17.33691734E-03,-83.41707033E-03,+99.18347991E-03
-5.25000E-06,+2.76358495E-03,-48.24119131E-03,+109.23373105E-03
-5.20000E-06,-29.89973128E-03,+1.19045226276E+00,+72.17342994E-03
-5.15000E-06,-22.36204292E-03,+2.15527637303E+00,+83.47996249E-03
-5.10000E-06,+50.50227791E-03,+2.08743717778E+00,+85.36438458E-03
-5.05000E-06,+2.76358495E-03,+2.12261305680E+00,+73.42971134E-03
-5.00000E-06,-4.77410341E-03,+1.02964824438E+00,+124.93724847E-03
-4.95000E-06,-37.43741964E-03,-23.11556344E-03,+105.46488687E-03
-4.90000E-06,-29.89973128E-03,-15.57787508E-03,+79.08297761E-03
-4.85000E-06,+17.83896168E-03,+17.08544116E-03,+73.42971134E-03
-4.80000E-06,+78.14046857E-03,+1.19045226276E+00,+72.17342994E-03
-4.75000E-06,-29.89973128E-03,+2.08241205220E+00,+83.47996249E-03
-4.70000E-06,+37.93946397E-03,+2.08743717778E+00,+88.50508806E-03
-4.65000E-06,-77.63842423E-03,+2.10753768007E+00,+77.19855552E-03
-4.60000E-06,-82.66354981E-03,+976.88442585E-03,+138.75634380E-03
-4.55000E-06,-22.36204292E-03,-15.57787508E-03,+87.24880667E-03
-4.50000E-06,-17.33691734E-03,-83.41707033E-03,+85.36438458E-03
-4.45000E-06,-62.56304751E-03,-15.57787508E-03,+73.42971134E-03
-4.40000E-06,+25.37665004E-03,+1.11005025357E+00,+72.17342994E-03
-4.35000E-06,+50.50227791E-03,+2.08241205220E+00,+69.03272646E-03
-4.30000E-06,+25.37665004E-03,+2.15527637303E+00,+102.32418339E-03
-4.25000E-06,-14.82435456E-03,+2.15527637303E+00,+93.53021363E-03
-4.20000E-06,-29.89973128E-03,+1.00452261651E+00,+118.65584151E-03
-4.15000E-06,-29.89973128E-03,-15.57787508E-03,+87.24880667E-03
-4.10000E-06,-29.89973128E-03,-15.57787508E-03,+102.32418339E-03
-4.05000E-06,+50.50227791E-03,-48.24119131E-03,+97.29905782E-03
-4.00000E-06,-2.26154062E-03,+1.11005025357E+00,+85.36438458E-03
-3.95000E-06,-29.89973128E-03,+2.14773868467E+00,+65.26388228E-03
-3.90000E-06,+37.93946397E-03,+2.22311556828E+00,+68.40458576E-03
-3.85000E-06,-77.63842423E-03,+2.07487436384E+00,+93.53021364E-03
-3.80000E-06,-55.02535915E-03,+1.00452261651E+00,+111.74629384E-03
-3.75000E-06,+42.96458955E-03,-15.57787508E-03,+105.46488687E-03
-3.70000E-06,-85.17611260E-03,-95.97988427E-03,+71.54528925E-03
-3.65000E-06,-29.89973128E-03,+17.08544116E-03,+93.53021364E-03
-3.60000E-06,-2.26154062E-03,+1.19045226276E+00,+72.17342994E-03
-3.55000E-06,+50.50227791E-03,+2.15527637303E+00,+85.36438458E-03
-3.50000E-06,+50.50227791E-03,+2.22311556828E+00,+85.36438458E-03
-3.45000E-06,-29.89973128E-03,+2.12261305680E+00,+85.36438458E-03
-3.40000E-06,-29.89973128E-03,+976.88442585E-03,+105.46488687E-03
-3.35000E-06,+42.96458955E-03,-15.57787508E-03,+105.46488687E-03
-3.30000E-06,-85.17611260E-03,-83.41707033E-03,+68.40458576E-03
-3.25000E-06,+17.83896168E-03,-502.49835E-06,+93.53021363E-03
-3.20000E-06,+78.14046857E-03,+1.19045226276E+00,+72.17342994E-03
-3.15000E-06,-22.36204292E-03,+2.14773868467E+00,+103.58046478E-03
-3.10000E-06,+118.34147316E-03,+2.16783918696E+00,+105.46488687E-03
-3.05000E-06,+50.50227791E-03,+2.10753768007E+00,+89.13322876E-03
-3.00000E-06,+50.50227791E-03,+976.88442585E-03,+138.75634380E-03
-2.95000E-06,+58.03996627E-03,+57.28644575E-03,+105.46488687E-03
-2.90000E-06,+37.93946397E-03,-15.57787508E-03,+88.50508806E-03
-2.85000E-06,+2.76358495E-03,-48.24119131E-03,+73.42971134E-03
-2.80000E-06,+22.86408725E-03,+1.24321608129E+00,+72.17342994E-03
-2.75000E-06,-22.36204292E-03,+2.16281406139E+00,+87.24880667E-03
-2.70000E-06,+25.37665004E-03,+2.08743717778E+00,+88.50508806E-03
-2.65000E-06,+17.83896168E-03,+2.15527637303E+00,+85.36438458E-03
-2.60000E-06,-4.77410341E-03,+1.00452261651E+00,+111.74629384E-03
