x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
+71.52000E-06,+1.05722353619E+00,+1.07129395369E+00,+163.88190538E-03,+15.45222470E-03
+71.54500E-06,+998.17831069E-03,+1.01853013516E+00,+190.89195534E-03,+20.47735028E-03
+71.57000E-06,+1.27958534285E+00,+1.33008792077E+00,+124.30904148E-03,-54.27139264E-03
+71.59500E-06,+1.35998735204E+00,+1.30244973011E+00,+178.32914140E-03,+59.42207348E-03
+71.62000E-06,+1.34114313114E+00,+1.35018842306E+00,+225.43969366E-03,+106.53262574E-03
+71.64500E-06,+1.40018835664E+00,+1.36275123700E+00,+148.17838796E-03,+44.97483745E-03
+71.67000E-06,+1.27832906146E+00,+1.33008792077E+00,+164.51004607E-03,-14.69852874E-03
+71.69500E-06,+1.40018835664E+00,+1.37154520676E+00,+178.32914140E-03,+59.42207348E-03
+71.72000E-06,+1.29842956376E+00,+1.28863063478E+00,+174.56029722E-03,+24.87433515E-03
+71.74500E-06,+1.35998735204E+00,+1.34013817192E+00,+175.18843792E-03,+9.17081774E-03
+71.77000E-06,+1.03963559668E+00,+1.04993717000E+00,+183.98240767E-03,+83.91956065E-03
+71.79500E-06,+1.02707278274E+00,+1.00973616540E+00,+138.12813681E-03,-35.42717174E-03
+71.82000E-06,+1.04089187807E+00,+1.03109294910E+00,+133.10301123E-03,-5.90455899E-03
+71.84500E-06,+926.57027126E-03,+1.00973616540E+00,+188.37939255E-03,+9.17081774E-03
+71.87000E-06,+1.07732403849E+00,+1.04993717000E+00,+182.72612628E-03,+64.44719905E-03
+71.89500E-06,+957.97730610E-03,+969.53516081E-03,+192.77637743E-03,+4.77383286E-03
+71.92000E-06,+1.05722353619E+00,+1.06878139090E+00,+163.88190538E-03,+3.51755146E-03
+71.94500E-06,+998.17831069E-03,+1.01853013516E+00,+168.27889025E-03,+4.77383286E-03
+71.97000E-06,+1.27958534285E+00,+1.33134420216E+00,+143.78140308E-03,-34.17089034E-03
+71.99500E-06,+1.37757529155E+00,+1.33134420216E+00,+189.63567395E-03,+65.07533975E-03
+72.02000E-06,+1.29842956376E+00,+1.37154520676E+00,+236.11808551E-03,+86.43212344E-03
+72.04500E-06,+1.40018835664E+00,+1.34013817192E+00,+121.16833799E-03,+24.87433515E-03
+72.07000E-06,+1.31978634745E+00,+1.33134420216E+00,+204.08290997E-03,+4.77383286E-03
+72.09500E-06,+1.41149488918E+00,+1.37154520676E+00,+163.88190538E-03,+39.32157118E-03
+72.12000E-06,+1.31978634745E+00,+1.29114319757E+00,+183.98240767E-03,+6.03011425E-03
+72.14500E-06,+1.32858031720E+00,+1.37154520676E+00,+152.57537283E-03,+24.87433515E-03
+72.17000E-06,+1.03837931529E+00,+1.08888189320E+00,+223.55527157E-03,+64.44719905E-03
+72.19500E-06,+1.00948484323E+00,+1.00973616540E+00,+143.78140308E-03,-55.52767403E-03
+72.22000E-06,+1.08109288267E+00,+1.04993717000E+00,+162.62562398E-03,-26.00506129E-03
+72.24500E-06,+935.36424101E-03,+1.00094219565E+00,+228.58039715E-03,+4.77383286E-03
+72.27000E-06,+1.07732403849E+00,+1.05244973279E+00,+203.45476927E-03,+63.19091766E-03
+72.29500E-06,+917.77630150E-03,+969.53516081E-03,+183.98240767E-03,-879.43341E-06
+72.32000E-06,+1.03837931529E+00,+1.03109294910E+00,+163.88190538E-03,+14.19594331E-03
