x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-3.20000E-06,,,,
-3.15000E-06,,,,
-3.10000E-06,+1.03614948760E+00,+1.35310927522E+00,+1.34020095691E+00,+1.31212316942E+00
-3.05000E-06,+1.04117461317E+00,+1.36567208916E+00,+1.34271351970E+00,+1.32468598336E+00
-3.00000E-06,+1.02358667366E+00,+1.34557158686E+00,+1.35778889642E+00,+1.32468598336E+00
-2.95000E-06,+1.05122486432E+00,+1.34557158686E+00,+1.34020095691E+00,+1.33724879730E+00
-2.90000E-06,+1.03614948760E+00,+1.35813440080E+00,+1.36030145921E+00,+1.33724879730E+00
-2.85000E-06,+1.04117461317E+00,+1.36567208916E+00,+1.35778889642E+00,+1.34478648566E+00
-2.80000E-06,+1.02358667366E+00,+1.36315952637E+00,+1.36030145921E+00,+1.32468598336E+00
-2.75000E-06,+1.03614948760E+00,+1.35310927522E+00,+1.34773864527E+00,+1.33222367172E+00
-2.70000E-06,+1.03112436202E+00,+1.35813440080E+00,+1.34773864527E+00,+1.33222367172E+00
-2.65000E-06,+1.04117461317E+00,+1.36315952637E+00,+1.34020095691E+00,+1.32971110893E+00
-2.60000E-06,+1.00599873415E+00,+1.34557158686E+00,+1.37537683593E+00,+1.32719854615E+00
-2.55000E-06,+1.03112436202E+00,+1.35813440080E+00,+1.34020095691E+00,+1.33724879730E+00
-2.50000E-06,+1.01604898530E+00,+1.36567208916E+00,+1.33768839412E+00,+1.33724879730E+00
-2.45000E-06,+1.04117461317E+00,+1.38326002867E+00,+1.34020095691E+00,+1.32468598336E+00
-2.40000E-06,+1.02358667366E+00,+1.36315952637E+00,+1.36030145921E+00,+1.32468598336E+00
-2.35000E-06,+1.03614948760E+00,+1.33300877293E+00,+1.34773864527E+00,+1.33724879730E+00
-2.30000E-06,+1.01102385973E+00,+1.35059671244E+00,+1.34020095691E+00,+1.34478648566E+00
-2.25000E-06,+1.03866205039E+00,+1.34557158686E+00,+1.32261301740E+00,+1.34227392287E+00
-2.20000E-06,+1.02358667366E+00,+1.34305902408E+00,+1.34020095691E+00,+1.32719854615E+00
-2.15000E-06,+1.01604898530E+00,+1.36567208916E+00,+1.36532658478E+00,+1.31212316942E+00
-2.10000E-06,+1.03112436202E+00,+1.35813440080E+00,+1.35276377085E+00,+1.33724879730E+00
-2.05000E-06,+1.03866205039E+00,+1.36315952637E+00,+1.34020095691E+00,+1.34227392287E+00
-2.00000E-06,+1.04117461317E+00,+1.34808414965E+00,+1.32261301740E+00,+1.32468598336E+00
-1.95000E-06,+1.01856154809E+00,+1.36567208916E+00,+1.34020095691E+00,+1.31966085779E+00
-1.90000E-06,+1.00348617136E+00,+1.34557158686E+00,+1.34773864527E+00,+1.33724879730E+00
-1.85000E-06,+1.02861179924E+00,+1.36567208916E+00,+1.36030145921E+00,+1.32217342057E+00
-1.80000E-06,+1.02358667366E+00,+1.34557158686E+00,+1.37537683593E+00,+1.34478648566E+00
-1.75000E-06,+1.02358667366E+00,+1.34557158686E+00,+1.33517583134E+00,+1.32971110893E+00
-1.70000E-06,+1.03112436202E+00,+1.35310927522E+00,+1.32763814298E+00,+1.33724879730E+00
-1.65000E-06,+1.00599873415E+00,+1.34557158686E+00,+1.32261301740E+00,+1.34478648566E+00
-1.60000E-06,+1.02609923645E+00,+1.36064696359E+00,+1.34020095691E+00,+1.32217342057E+00
-1.55000E-06,+1.02358667366E+00,+1.36567208916E+00,+1.33266326855E+00,+1.33724879730E+00
-1.50000E-06,+1.02358667366E+00,+1.36567208916E+00,+1.34522608249E+00,+1.32468598336E+00
-1.45000E-06,+1.03866205039E+00,+1.36315952637E+00,+1.33768839412E+00,+1.34227392287E+00
-1.40000E-06,+1.02609923645E+00,+1.36064696359E+00,+1.34020095691E+00,+1.32468598336E+00
-1.35000E-06,+1.01604898530E+00,+1.34557158686E+00,+1.36532658478E+00,+1.34478648566E+00
-1.30000E-06,+1.01604898530E+00,+1.34054646129E+00,+1.32763814298E+00,+1.35734929959E+00
-1.25000E-06,+1.00599873415E+00,+1.36315952637E+00,+1.34020095691E+00,+1.34227392287E+00
-1.20000E-06,+1.04368717596E+00,+1.34808414965E+00,+1.34020095691E+00,+1.34227392287E+00
-1.15000E-06,+1.03614948760E+00,+1.35813440080E+00,+1.33517583134E+00,+1.32468598336E+00
-1.10000E-06,+1.01102385973E+00,+1.35310927522E+00,+1.32763814298E+00,+1.32468598336E+00
-1.05000E-06,+1.02609923645E+00,+1.33049621014E+00,+1.36030145921E+00,+1.32719854615E+00
-1.00000E-06,+1.02609923645E+00,+1.34808414965E+00,+1.32261301740E+00,+1.30961060664E+00
-950.00E-09,+1.02358667366E+00,+1.34557158686E+00,+1.35276377085E+00,+1.32971110893E+00
-900.00E-09,+1.01102385973E+00,+1.34557158686E+00,+1.34020095691E+00,+1.33222367172E+00
-850.00E-09,+1.02107411087E+00,+1.34557158686E+00,+1.35778889642E+00,+1.33976136008E+00
-800.00E-09,+1.00599873415E+00,+1.36567208916E+00,+1.35778889642E+00,+1.32971110893E+00
-750.00E-09,+1.04368717596E+00,+1.34557158686E+00,+1.34271351970E+00,+1.31212316942E+00
-700.00E-09,+1.01604898530E+00,+1.36567208916E+00,+1.36030145921E+00,+1.33222367172E+00
-650.00E-09,+1.02358667366E+00,+1.34557158686E+00,+1.34020095691E+00,+1.32468598336E+00
-600.00E-09,+1.02609923645E+00,+1.36315952637E+00,+1.34271351970E+00,+1.32468598336E+00
-550.00E-09,+1.02358667366E+00,+1.35813440080E+00,+1.35276377085E+00,+1.33222367172E+00
