x-axis,1,2,3
second,Volt,Volt,Volt
-10.20000E-06,,,
-10.15000E-06,+42.96458955E-03,-23.11556344E-03,+565.89201762E-03
-10.10000E-06,+37.93946397E-03,-28.14068901E-03,+567.77643971E-03
-10.05000E-06,+17.83896168E-03,-15.57787508E-03,+559.61061065E-03
-10.00000E-06,+25.37665004E-03,+1.24321608129E+00,+560.86689205E-03
-9.95000E-06,+50.50227791E-03,+2.06733667548E+00,+565.89201762E-03
-9.90000E-06,-17.33691734E-03,+2.15527637303E+00,+570.91714320E-03
-9.85000E-06,+17.83896168E-03,+2.15527637303E+00,+567.77643971E-03
-9.80000E-06,-32.41229407E-03,+1.05728643504E+00,+601.06789664E-03
-9.75000E-06,-29.89973128E-03,-15.57787508E-03,+584.10809783E-03
-9.70000E-06,-29.89973128E-03,-28.14068901E-03,+584.73623852E-03
-9.65000E-06,-29.89973128E-03,-15.57787508E-03,+572.17342459E-03
-9.60000E-06,+25.37665004E-03,+1.24321608129E+00,+548.30407811E-03
-9.55000E-06,+42.96458955E-03,+2.14773868467E+00,+567.77643971E-03
-9.50000E-06,-29.89973128E-03,+2.08743717778E+00,+561.49503274E-03
-9.45000E-06,+50.50227791E-03,+2.12261305680E+00,+579.71111295E-03
-9.40000E-06,-57.53792194E-03,+1.03216080717E+00,+607.34930361E-03
-9.35000E-06,-102.76405211E-03,-23.11556344E-03,+585.99251992E-03
-9.30000E-06,-110.30174047E-03,-83.41707033E-03,+601.69603734E-03
-9.25000E-06,-62.56304751E-03,-48.24119131E-03,+555.84176647E-03
-9.20000E-06,+50.50227791E-03,+1.19045226276E+00,+574.68598738E-03
-9.15000E-06,+50.50227791E-03,+2.15527637303E+00,+587.87694201E-03
-9.10000E-06,+37.93946398E-03,+2.15527637303E+00,+564.63573623E-03
-9.05000E-06,-29.89973128E-03,+2.17035174975E+00,+559.61061065E-03
-9.00000E-06,-29.89973128E-03,+1.02964824438E+00,+594.15834898E-03
-8.95000E-06,-29.89973128E-03,-15.57787508E-03,+551.44478160E-03
-8.90000E-06,-29.89973128E-03,-28.14068901E-03,+564.63573623E-03
-8.85000E-06,-62.56304751E-03,-15.57787508E-03,+555.84176647E-03
-8.80000E-06,+50.50227791E-03,+1.24321608129E+00,+567.77643971E-03
-8.75000E-06,-29.89973128E-03,+2.16281406139E+00,+569.66086180E-03
-8.70000E-06,+50.50227791E-03,+2.15527637303E+00,+567.77643971E-03
-8.65000E-06,+2.76358495E-03,+2.14020099630E+00,+567.77643971E-03
-8.60000E-06,-4.77410341E-03,+1.00452261651E+00,+607.34930361E-03
-8.55000E-06,-29.89973128E-03,-23.11556344E-03,+569.66086180E-03
-8.50000E-06,-29.89973128E-03,-15.57787508E-03,+564.63573623E-03
-8.45000E-06,+2.76358495E-03,-95.97988427E-03,+587.87694201E-03
-8.40000E-06,+50.50227791E-03,+1.13768844423E+00,+567.77643971E-03
-8.35000E-06,-29.89973128E-03,+2.07487436384E+00,+547.67593741E-03
-8.30000E-06,-17.33691734E-03,+2.15527637303E+00,+564.63573623E-03
-8.25000E-06,-29.89973128E-03,+2.18793968926E+00,+567.77643971E-03
-8.20000E-06,+22.86408725E-03,+1.05728643504E+00,+587.24880131E-03
-8.15000E-06,-29.89973128E-03,+57.28644575E-03,+565.89201762E-03
-8.10000E-06,+50.50227791E-03,-95.97988427E-03,+550.81664090E-03
-8.05000E-06,-44.97510800E-03,-15.57787508E-03,+555.84176647E-03
-8.00000E-06,-2.26154062E-03,+1.24321608129E+00,+547.67593741E-03
-7.95000E-06,-29.89973128E-03,+2.14773868467E+00,+584.10809783E-03
-7.90000E-06,-17.33691734E-03,+2.14271355909E+00,+564.63573623E-03
-7.85000E-06,-77.63842424E-03,+2.15527637303E+00,+555.84176647E-03
-7.80000E-06,-57.53792194E-03,+1.08492462570E+00,+574.05784668E-03
-7.75000E-06,-29.89973128E-03,-88.44219590E-03,+565.89201762E-03
-7.70000E-06,+37.93946398E-03,-15.57787508E-03,+567.77643971E-03
-7.65000E-06,-29.89973128E-03,-63.31656803E-03,+547.67593741E-03
-7.60000E-06,-29.89973128E-03,+1.24321608129E+00,+554.58548508E-03
-7.55000E-06,-29.89973128E-03,+2.07487436384E+00,+549.56035950E-03
-7.50000E-06,-17.33691734E-03,+2.15527637303E+00,+570.91714320E-03
-7.45000E-06,-14.82435455E-03,+2.07487436384E+00,+555.84176647E-03
-7.40000E-06,-4.77410341E-03,+1.03216080717E+00,+580.96739434E-03
-7.35000E-06,-22.36204292E-03,+57.28644575E-03,+567.77643971E-03
-7.30000E-06,-17.33691734E-03,-15.57787508E-03,+533.85684208E-03
-7.25000E-06,-29.89973128E-03,-15.57787508E-03,+555.84176647E-03
-7.20000E-06,-2.26154062E-03,+1.24321608129E+00,+534.48498278E-03
-7.15000E-06,+42.96458955E-03,+2.07487436384E+00,+565.89201762E-03
-7.10000E-06,-97.73892653E-03,+2.15527637303E+00,+587.87694201E-03
-7.05000E-06,+2.76358495E-03,+2.15527637303E+00,+547.67593741E-03
-7.00000E-06,+22.86408725E-03,+1.00452261651E+00,+594.15834898E-03
-6.95000E-06,-29.89973128E-03,-23.11556344E-03,+531.34427930E-03
-6.90000E-06,+37.93946398E-03,-83.41707033E-03,+581.59553504E-03
-6.85000E-06,+2.76358495E-03,-95.97988427E-03,+579.71111295E-03
-6.80000E-06,-2.26154062E-03,+1.24321608129E+00,+561.49503274E-03
-6.75000E-06,-29.89973128E-03,+2.07487436384E+00,+567.77643971E-03
-6.70000E-06,+50.50227791E-03,+2.09999999171E+00,+584.73623852E-03
-6.65000E-06,+50.50227791E-03,+2.18793968926E+00,+575.94226877E-03
-6.60000E-06,-2.26154062E-03,+1.00452261651E+00,+607.34930361E-03
-6.55000E-06,+50.50227791E-03,-8.04018672E-03,+587.87694201E-03
-6.50000E-06,-97.73892653E-03,-95.97988427E-03,+547.67593741E-03
-6.45000E-06,-29.89973128E-03,-502.49835E-06,+575.94226877E-03
-6.40000E-06,+25.37665004E-03,+1.24321608129E+00,+548.30407811E-03
-6.35000E-06,+42.96458955E-03,+2.16281406139E+00,+585.99251992E-03
-6.30000E-06,+50.50227791E-03,+2.16783918696E+00,+581.59553504E-03
-6.25000E-06,+50.50227791E-03,+2.10753768007E+00,+587.87694201E-03
-6.20000E-06,-57.53792194E-03,+1.08241206291E+00,+587.24880131E-03
-6.15000E-06,+42.96458955E-03,-95.97988427E-03,+567.77643971E-03
-6.10000E-06,+37.93946398E-03,-95.97988427E-03,+547.67593741E-03
-6.05000E-06,-44.97510800E-03,-128.64320050E-03,+567.77643971E-03
-6.00000E-06,-2.26154062E-03,+1.16281407210E+00,+547.67593741E-03
-5.95000E-06,-37.43741964E-03,+2.07487436384E+00,+565.89201762E-03
-5.90000E-06,-17.33691734E-03,+2.16783918696E+00,+550.81664090E-03
-5.85000E-06,+50.50227791E-03,+2.15527637303E+00,+575.94226877E-03
-5.80000E-06,-29.89973128E-03,+1.05728643504E+00,+580.96739434E-03
-5.75000E-06,-102.76405211E-03,-15.57787508E-03,+567.77643971E-03
-5.70000E-06,-29.89973128E-03,-15.57787508E-03,+567.77643971E-03
-5.65000E-06,+2.76358495E-03,-15.57787508E-03,+567.77643971E-03
-5.60000E-06,-82.66354981E-03,+1.16281407210E+00,+540.76638975E-03
-5.55000E-06,-22.36204292E-03,+2.07487436384E+00,+549.56035950E-03
-5.50000E-06,-17.33691734E-03,+2.15527637303E+00,+581.59553504E-03
-5.45000E-06,+17.83896168E-03,+2.10753768007E+00,+547.67593741E-03
-5.40000E-06,-4.77410341E-03,+924.12060732E-03,+580.96739434E-03
-5.35000E-06,-22.36204292E-03,-88.44219591E-03,+565.89201762E-03
-5.30000E-06,-29.89973128E-03,-15.57787508E-03,+567.77643971E-03
-5.25000E-06,-44.97510800E-03,+32.16081788E-03,+575.94226877E-03
-5.20000E-06,+50.50227791E-03,+1.19045226276E+00,+554.58548508E-03
-5.15000E-06,+42.96458955E-03,+2.07487436384E+00,+585.99251992E-03
-5.10000E-06,-85.17611260E-03,+2.21055275435E+00,+530.71613860E-03
-5.05000E-06,+17.83896168E-03,+2.18793968926E+00,+547.67593741E-03
-5.00000E-06,+22.86408725E-03,+1.02964824438E+00,+580.96739434E-03
-4.95000E-06,-22.36204292E-03,-23.11556344E-03,+569.66086180E-03
-4.90000E-06,-29.89973128E-03,-28.14068901E-03,+550.81664090E-03
-4.85000E-06,+17.83896168E-03,-63.31656803E-03,+564.00759553E-03
-4.80000E-06,+25.37665004E-03,+1.16281407210E+00,+534.48498278E-03
-4.75000E-06,-22.36204292E-03,+2.14773868467E+00,+551.44478159E-03
-4.70000E-06,+37.93946397E-03,+2.22311556828E+00,+553.95734438E-03
-4.65000E-06,+50.50227791E-03,+2.15527637303E+00,+567.77643971E-03
-4.60000E-06,+22.86408725E-03,+949.24623519E-03,+587.87694201E-03
-4.55000E-06,+42.96458955E-03,+57.28644575E-03,+569.66086180E-03
-4.50000E-06,+25.37665004E-03,-15.57787508E-03,+570.91714320E-03
-4.45000E-06,-29.89973128E-03,-48.24119131E-03,+584.10809783E-03
-4.40000E-06,-29.89973128E-03,+1.19045226276E+00,+547.67593741E-03
-4.35000E-06,+42.96458955E-03,+2.07487436384E+00,+565.89201762E-03
-4.30000E-06,-17.33691734E-03,+2.15527637303E+00,+567.77643971E-03
-4.25000E-06,+17.83896168E-03,+2.15527637303E+00,+567.77643971E-03
-4.20000E-06,-4.77410341E-03,+1.11005025357E+00,+594.15834898E-03
-4.15000E-06,+35.42690119E-03,+57.28644575E-03,+565.89201762E-03
-4.10000E-06,-17.33691734E-03,-95.97988427E-03,+584.73623852E-03
-4.05000E-06,+17.83896168E-03,-15.57787508E-03,+567.77643971E-03
-4.00000E-06,+22.86408725E-03,+1.13517588144E+00,+561.49503274E-03
-3.95000E-06,+50.50227791E-03,+2.07487436384E+00,+551.44478159E-03
-3.90000E-06,+118.34147316E-03,+2.16783918696E+00,+587.87694201E-03
-3.85000E-06,-29.89973128E-03,+2.18793968926E+00,+575.94226877E-03
-3.80000E-06,-57.53792194E-03,+1.05728643504E+00,+594.15834898E-03
-3.75000E-06,-29.89973128E-03,-95.97988427E-03,+585.99251992E-03
-3.70000E-06,-29.89973128E-03,-15.57787508E-03,+587.87694201E-03
-3.65000E-06,+2.76358495E-03,-15.57787508E-03,+567.77643971E-03
-3.60000E-06,+50.50227791E-03,+1.19045226276E+00,+587.87694201E-03
-3.55000E-06,+42.96458955E-03,+2.14773868467E+00,+549.56035950E-03
-3.50000E-06,-29.89973128E-03,+2.22311556828E+00,+553.95734438E-03
-3.45000E-06,+17.83896168E-03,+2.15527637303E+00,+579.71111295E-03
-3.40000E-06,-29.89973128E-03,+1.00452261651E+00,+601.06789664E-03
-3.35000E-06,-95.22636375E-03,+57.28644575E-03,+587.87694201E-03
-3.30000E-06,+25.37665004E-03,-95.97988427E-03,+553.95734438E-03
-3.25000E-06,-29.89973128E-03,-15.57787508E-03,+567.77643971E-03
-3.20000E-06,-55.02535915E-03,+1.21557789063E+00,+547.67593741E-03
-3.15000E-06,-37.43741964E-03,+2.08241205220E+00,+589.76136410E-03
-3.10000E-06,-17.33691734E-03,+2.22311556828E+00,+601.69603734E-03
-3.05000E-06,-62.56304751E-03,+2.15527637303E+00,+543.90709323E-03
-3.00000E-06,-57.53792194E-03,+976.88442585E-03,+601.06789664E-03
-2.95000E-06,-22.36204292E-03,-15.57787508E-03,+567.77643971E-03
-2.90000E-06,+37.93946397E-03,-83.41707033E-03,+564.63573623E-03
-2.85000E-06,-29.89973128E-03,-48.24119131E-03,+579.71111295E-03
-2.80000E-06,-29.89973128E-03,+1.19045226276E+00,+554.58548508E-03
-2.75000E-06,+42.96458955E-03,+2.14773868467E+00,+567.77643971E-03
-2.70000E-06,-29.89973128E-03,+2.14271355909E+00,+550.81664090E-03
-2.65000E-06,+50.50227791E-03,+2.15527637303E+00,+571.54528389E-03
-2.60000E-06,-29.89973128E-03,+1.11005025357E+00,+580.96739434E-03
