x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
+39.70000E-06,+1.35775752435E+00,+1.36567208916E+00,+1.34773864527E+00,+5.00001037E-03
+39.72500E-06,+1.33011933370E+00,+1.38074746588E+00,+1.35778889642E+00,+11.03016105E-03
+39.75000E-06,+1.36027008714E+00,+1.36315952637E+00,+1.35778889642E+00,+15.55277407E-03
+39.77500E-06,+1.36529521272E+00,+1.37069721473E+00,+1.35276377085E+00,+12.53769873E-03
+39.80000E-06,+1.34016958484E+00,+1.06667711749E+00,+1.35276377085E+00,+26.60805034E-03
+39.82500E-06,+1.34268214763E+00,+1.00637561060E+00,+1.34522608249E+00,-27.16079331E-03
+39.85000E-06,+1.36529521272E+00,+1.04155148962E+00,+1.37788939872E+00,+27.61307545E-03
+39.87500E-06,+1.35775752435E+00,+1.00386304781E+00,+1.33266326855E+00,-3.54270311E-03
+39.90000E-06,+1.36529521272E+00,+1.01140073617E+00,+1.35276377085E+00,+9.02011083E-03
+39.92500E-06,+1.36529521272E+00,+1.02145098732E+00,+1.34522608248E+00,+10.52764850E-03
+39.95000E-06,+1.36529521272E+00,+1.00637561060E+00,+1.36030145921E+00,+7.01006060E-03
+39.97500E-06,+1.35273239878E+00,+1.03652636404E+00,+1.37286427314E+00,+5.00001037E-03
+40.00000E-06,+1.32509420812E+00,+1.25763188931E+00,+1.33266326855E+00,-18.11556728E-03
+40.02500E-06,+1.38539571501E+00,+1.35059671244E+00,+1.34020095691E+00,+30.62815079E-03
+40.05000E-06,+1.34770727321E+00,+1.34305902407E+00,+1.34020095691E+00,+3.49247269E-03
+40.07500E-06,+1.35775752435E+00,+1.36567208916E+00,+1.34773864527E+00,+13.04021128E-03
+40.10000E-06,+1.34519471042E+00,+1.34557158686E+00,+1.34020095691E+00,+11.53267361E-03
+40.12500E-06,+1.34519471042E+00,+1.36315952637E+00,+1.36030145921E+00,+11.03016105E-03
+40.15000E-06,+1.34519471042E+00,+1.34808414965E+00,+1.34020095691E+00,+12.03518617E-03
+40.17500E-06,+1.35273239878E+00,+1.35310927522E+00,+1.36783914757E+00,+10.02513594E-03
+40.20000E-06,+1.34519471042E+00,+1.07170224306E+00,+1.36030145921E+00,+20.07538709E-03
+40.22500E-06,+1.36278264993E+00,+1.02396355011E+00,+1.36030145921E+00,-8.56782869E-03
+40.25000E-06,+1.36529521272E+00,+1.02396355011E+00,+1.38040196151E+00,+12.03518617E-03
+40.27500E-06,+1.37785802665E+00,+1.03150123847E+00,+1.36532658478E+00,+6.00503548E-03
+40.30000E-06,+1.36529521272E+00,+1.04406405240E+00,+1.35527633363E+00,+7.51257315E-03
+40.32500E-06,+1.34770727321E+00,+1.02145098732E+00,+1.34020095691E+00,+7.51257315E-03
+40.35000E-06,+1.36027008714E+00,+1.06165199191E+00,+1.34271351970E+00,+3.99498525E-03
+40.37500E-06,+1.33263189648E+00,+1.03652636404E+00,+1.35276377085E+00,+10.02513594E-03
+40.40000E-06,+1.34519471042E+00,+1.26265701489E+00,+1.32763814297E+00,-18.11556728E-03
+40.42500E-06,+1.36780777550E+00,+1.34557158686E+00,+1.36030145921E+00,+31.13066335E-03
+40.45000E-06,+1.36278264993E+00,+1.34305902407E+00,+1.34271351970E+00,-4.54772823E-03
+40.47500E-06,+1.38539571501E+00,+1.35813440080E+00,+1.34020095691E+00,+6.50754804E-03
+40.50000E-06,+1.33011933370E+00,+1.34557158686E+00,+1.36030145921E+00,+7.51257315E-03
+40.52500E-06,+1.34770727321E+00,+1.34808414965E+00,+1.32512558019E+00,+3.99498525E-03
+40.55000E-06,+1.36278264993E+00,+1.36315952637E+00,+1.34271351970E+00,+11.53267361E-03
+40.57500E-06,+1.36529521272E+00,+1.37069721473E+00,+1.34020095691E+00,+15.55277407E-03
+40.60000E-06,+1.35273239878E+00,+1.06416455470E+00,+1.35527633363E+00,+25.60302522E-03
+40.62500E-06,+1.34268214763E+00,+1.02396355011E+00,+1.32261301740E+00,-4.54772823E-03
+40.65000E-06,+1.38288315223E+00,+1.02396355011E+00,+1.34020095691E+00,+11.53267361E-03
+40.67500E-06,+1.35273239878E+00,+1.02898867568E+00,+1.35276377085E+00,+7.51257315E-03
+40.70000E-06,+1.34519471042E+00,+1.02396355011E+00,+1.35276377085E+00,+7.51257315E-03
+40.72500E-06,+1.36529521272E+00,+1.02396355011E+00,+1.34271351970E+00,+10.52764850E-03
+40.75000E-06,+1.36529521272E+00,+1.02647611289E+00,+1.34271351970E+00,+3.99498525E-03
+40.77500E-06,+1.36027008714E+00,+1.03150123847E+00,+1.34773864527E+00,-527.62777E-06
+40.80000E-06,+1.32760677091E+00,+1.26516957767E+00,+1.32763814297E+00,-15.60300449E-03
+40.82500E-06,+1.38288315223E+00,+1.34557158686E+00,+1.34271351970E+00,+31.13066335E-03
+40.85000E-06,+1.36780777550E+00,+1.32798364735E+00,+1.36030145921E+00,-4.54772823E-03
+40.87500E-06,+1.34519471042E+00,+1.36567208916E+00,+1.34271351970E+00,+9.02011083E-03
+40.90000E-06,+1.35775752436E+00,+1.36567208916E+00,+1.34773864527E+00,+10.52764850E-03
+40.92500E-06,+1.36278264993E+00,+1.34808414965E+00,+1.34271351970E+00,+7.51257315E-03
+40.95000E-06,+1.36278264993E+00,+1.36567208916E+00,+1.35527633363E+00,+5.00001037E-03
+40.97500E-06,+1.37785802665E+00,+1.35813440080E+00,+1.34020095691E+00,+10.02513594E-03
+41.00000E-06,+1.36529521272E+00,+1.03401380125E+00,+1.35527633363E+00,+24.09548755E-03
