x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-20.00000E-06,+1.04368717596E+00,+1.00386304781E+00,+1.02989945002E+00,+5.01257554E-03
-19.95000E-06,+1.02861179924E+00,+1.01391329896E+00,+1.01482407330E+00,+6.01760065E-03
-19.90000E-06,+1.01353642251E+00,+1.02396355011E+00,+1.02989945002E+00,+7.02262577E-03
-19.85000E-06,+1.03866205039E+00,+1.02396355011E+00,+1.02487432444E+00,+5.01257554E-03
-19.80000E-06,+1.00348617136E+00,+1.04406405240E+00,+1.00979894772E+00,+9.03267600E-03
-19.75000E-06,+1.02358667366E+00,+1.03903892683E+00,+1.02989945002E+00,+9.03267600E-03
-19.70000E-06,+1.03363692481E+00,+1.01391329896E+00,+1.02989945002E+00,+7.02262577E-03
-19.65000E-06,+1.02861179924E+00,+1.00888817338E+00,+1.02487432444E+00,+9.03267600E-03
-19.60000E-06,+1.02358667366E+00,+1.02396355011E+00,+1.02989945002E+00,+9.03267600E-03
-19.55000E-06,+1.02358667366E+00,+1.03903892683E+00,+1.02989945002E+00,+6.01760065E-03
-19.50000E-06,+1.04368717596E+00,+1.03401380125E+00,+1.01984919887E+00,+9.03267600E-03
-19.45000E-06,+1.01856154809E+00,+1.02396355011E+00,+1.01482407330E+00,+9.03267600E-03
-19.40000E-06,+1.04368717596E+00,+1.02396355011E+00,+1.04999995232E+00,+5.01257554E-03
-19.35000E-06,+1.01353642251E+00,+1.02396355011E+00,+1.01482407330E+00,+5.01257554E-03
-19.30000E-06,+1.03363692481E+00,+1.02396355011E+00,+1.01984919887E+00,+7.02262577E-03
-19.25000E-06,+1.02358667366E+00,+1.00386304781E+00,+1.00979894772E+00,+9.03267600E-03
-19.20000E-06,+1.02358667366E+00,+1.02396355011E+00,+1.04999995232E+00,+9.03267600E-03
-19.15000E-06,+1.02358667366E+00,+1.02898867568E+00,+1.03492457559E+00,+6.01760065E-03
-19.10000E-06,+1.03363692481E+00,+1.05411430355E+00,+1.03994970117E+00,+7.02262577E-03
-19.05000E-06,+1.03866205039E+00,+1.02396355011E+00,+1.00979894772E+00,+6.01760065E-03
-19.00000E-06,+1.04368717596E+00,+1.02396355011E+00,+1.00979894772E+00,+9.03267600E-03
-18.95000E-06,+1.03363692481E+00,+1.02898867568E+00,+1.06507532904E+00,+8.02765088E-03
-18.90000E-06,+1.03363692481E+00,+1.03401380125E+00,+1.03994970117E+00,+5.01257554E-03
-18.85000E-06,+1.04368717596E+00,+1.03903892683E+00,+1.00979894772E+00,+8.02765088E-03
-18.80000E-06,+1.02358667366E+00,+1.04406405240E+00,+1.00979894772E+00,+9.03267600E-03
-18.75000E-06,+1.02358667366E+00,+1.02396355011E+00,+1.02989945002E+00,+12.04775134E-03
-18.70000E-06,+1.02358667366E+00,+1.02396355011E+00,+1.00979894772E+00,+7.02262577E-03
-18.65000E-06,+1.01856154809E+00,+1.02396355011E+00,+1.03492457559E+00,+9.03267600E-03
-18.60000E-06,+1.02358667366E+00,+1.02396355011E+00,+1.04999995232E+00,+5.01257554E-03
-18.55000E-06,+1.03866205038E+00,+1.02396355011E+00,+994.72357100E-03,+8.02765088E-03
-18.50000E-06,+1.02358667366E+00,+1.01391329896E+00,+1.02989945002E+00,+11.04272623E-03
-18.45000E-06,+1.02861179924E+00,+1.05913942913E+00,+1.03492457559E+00,+9.03267600E-03
-18.40000E-06,+1.06378767826E+00,+1.04406405240E+00,+1.02989945002E+00,+9.03267600E-03
-18.35000E-06,+1.02358667366E+00,+1.02396355011E+00,+1.01482407330E+00,+12.04775134E-03
-18.30000E-06,+1.02358667366E+00,+1.01391329896E+00,+1.01984919887E+00,+9.03267600E-03
-18.25000E-06,+1.03866205039E+00,+1.02396355011E+00,+1.02989945002E+00,+8.02765088E-03
-18.20000E-06,+1.02358667366E+00,+1.02396355011E+00,+1.02989945002E+00,+5.01257554E-03
-18.15000E-06,+1.03866205038E+00,+1.03401380125E+00,+1.02989945002E+00,+3.00252531E-03
-18.10000E-06,+1.02358667366E+00,+1.02396355011E+00,+1.02989945002E+00,+7.02262577E-03
-18.05000E-06,+1.02358667366E+00,+1.02396355011E+00,+1.02487432445E+00,+12.04775134E-03
-18.00000E-06,+1.04368717596E+00,+1.00386304781E+00,+1.00979894772E+00,+9.03267600E-03
-17.95000E-06,+1.02358667366E+00,+1.01893842453E+00,+994.72357100E-03,+14.05780157E-03
-17.90000E-06,+1.03363692481E+00,+1.04406405240E+00,+1.02989945002E+00,+9.03267600E-03
-17.85000E-06,+1.03363692481E+00,+1.07923993142E+00,+1.03492457559E+00,+992.47508E-06
-17.80000E-06,+1.02358667366E+00,+1.02396355011E+00,+1.04999995231E+00,+5.01257554E-03
-17.75000E-06,+1.02358667366E+00,+1.04406405240E+00,+1.02989945002E+00,+12.04775134E-03
-17.70000E-06,+1.03363692481E+00,+1.03401380125E+00,+1.01984919887E+00,+3.00252531E-03
-17.65000E-06,+1.02861179924E+00,+1.02396355011E+00,+1.02989945002E+00,+9.03267600E-03
-17.60000E-06,+1.04368717596E+00,+1.04406405240E+00,+1.04999995232E+00,+13.05277646E-03
-17.55000E-06,+1.02358667366E+00,+1.02898867568E+00,+1.02487432444E+00,+8.02765088E-03
-17.50000E-06,+1.04368717596E+00,+1.03401380125E+00,+1.02989945002E+00,+5.01257554E-03
-17.45000E-06,+1.02358667366E+00,+1.02396355011E+00,+1.02989945002E+00,+8.02765088E-03
-17.40000E-06,+1.04368717596E+00,+1.02396355011E+00,+1.00979894772E+00,+9.03267600E-03
-17.35000E-06,+1.02358667366E+00,+1.02396355011E+00,+1.01482407330E+00,+11.04272623E-03
-17.30000E-06,+1.05373742711E+00,+1.04406405240E+00,+1.02989945002E+00,+9.03267600E-03
-17.25000E-06,+1.01856154809E+00,+1.04406405240E+00,+1.04497482674E+00,+9.03267600E-03
-17.20000E-06,+1.04368717596E+00,+1.02396355011E+00,+1.00979894772E+00,+5.01257554E-03
-17.15000E-06,+1.01353642252E+00,+1.02396355011E+00,+1.04497482674E+00,+8.02765088E-03
-17.10000E-06,+1.02358667366E+00,+1.02396355011E+00,+1.03994970117E+00,+7.02262577E-03
-17.05000E-06,+1.03363692481E+00,+1.02898867568E+00,+1.02989945002E+00,+7.02262577E-03
-17.00000E-06,+1.02358667366E+00,+1.04406405240E+00,+1.04999995232E+00,+9.03267600E-03
-16.95000E-06,+1.01856154809E+00,+1.03401380125E+00,+1.03492457559E+00,+9.03267600E-03
-16.90000E-06,+1.01353642251E+00,+1.03401380126E+00,+1.02989945002E+00,+11.04272623E-03
-16.85000E-06,+1.02861179924E+00,+1.04406405240E+00,+1.00979894772E+00,+12.04775134E-03
-16.80000E-06,+1.04368717596E+00,+1.04406405240E+00,+1.00979894772E+00,+992.47508E-06
-16.75000E-06,+1.02861179924E+00,+1.02898867568E+00,+1.02989945002E+00,+9.03267600E-03
-16.70000E-06,+1.03363692481E+00,+1.02396355011E+00,+1.02989945002E+00,+9.03267600E-03
-16.65000E-06,+1.03866205039E+00,+1.05913942913E+00,+1.01984919887E+00,+8.02765088E-03
-16.60000E-06,+1.02358667366E+00,+1.00386304781E+00,+1.02989945002E+00,+5.01257554E-03
-16.55000E-06,+1.03363692481E+00,+1.03903892683E+00,+1.04497482674E+00,+5.01257554E-03
-16.50000E-06,+1.04368717596E+00,+1.03401380126E+00,+1.06005020347E+00,+5.01257554E-03
-16.45000E-06,+1.02358667366E+00,+1.01391329896E+00,+1.03994970117E+00,+5.01257554E-03
-16.40000E-06,+1.02358667366E+00,+1.04406405240E+00,+1.02989945002E+00,+9.03267600E-03
-16.35000E-06,+1.02358667366E+00,+1.02396355011E+00,+1.04497482674E+00,+15.06282669E-03
-16.30000E-06,+1.02358667366E+00,+1.02396355011E+00,+1.00979894772E+00,+9.03267600E-03
-16.25000E-06,+1.03866205039E+00,+1.02396355011E+00,+1.02487432445E+00,+9.03267600E-03
-16.20000E-06,+1.02358667366E+00,+1.00386304781E+00,+1.00979894772E+00,+9.03267600E-03
-16.15000E-06,+1.03866205038E+00,+1.03401380125E+00,+1.03492457559E+00,+5.01257554E-03
-16.10000E-06,+1.02358667366E+00,+1.03401380126E+00,+1.02989945002E+00,+7.02262577E-03
-16.05000E-06,+1.02861179924E+00,+1.02396355011E+00,+1.04999995232E+00,+8.02765088E-03
-16.00000E-06,+1.02358667366E+00,+1.04406405240E+00,+1.04999995231E+00,+9.03267600E-03
-15.95000E-06,+1.03866205038E+00,+1.02898867568E+00,+1.02487432444E+00,+12.04775134E-03
-15.90000E-06,+1.03363692481E+00,+1.02396355011E+00,+1.04999995232E+00,+7.02262577E-03
-15.85000E-06,+1.02358667366E+00,+1.01893842453E+00,+1.01482407329E+00,+11.04272623E-03
-15.80000E-06,+1.02358667366E+00,+1.02396355011E+00,+989.69844543E-03,+5.01257554E-03
