x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
+71.52000E-06,+1.05973609898E+00,+1.03109294909E+00,+163.88190538E-03,+15.45222470E-03
+71.54500E-06,+1.31099237769E+00,+1.29114319757E+00,+119.28391590E-03,+4.77383286E-03
+71.57000E-06,+1.28084162425E+00,+1.29114319757E+00,+143.78140308E-03,+43.71855606E-03
+71.59500E-06,+1.40018835664E+00,+1.37154520676E+00,+112.37436824E-03,+4.77383286E-03
+71.62000E-06,+1.27958534285E+00,+1.32883163937E+00,+244.28391457E-03,+24.87433515E-03
+71.64500E-06,+1.38636926131E+00,+1.38033917651E+00,+163.88190538E-03,+9.17081774E-03
+71.67000E-06,+1.31853006606E+00,+1.29114319757E+00,+204.71105067E-03,+44.97483745E-03
+71.69500E-06,+1.41149488918E+00,+1.36023867421E+00,+218.53014600E-03,+24.87433515E-03
+71.72000E-06,+1.31978634745E+00,+1.31249998126E+00,+194.66079952E-03,+35.55272700E-03
+71.74500E-06,+1.05596725480E+00,+1.09893214435E+00,+235.48994481E-03,+65.07533975E-03
+71.77000E-06,+1.07732403849E+00,+1.08762561181E+00,+183.98240767E-03,+44.34669676E-03
+71.79500E-06,+986.87177815E-03,+969.53516081E-03,+178.32914140E-03,+24.87433515E-03
+71.82000E-06,+1.05722353619E+00,+1.00973616540E+00,+113.00250894E-03,-26.00506129E-03
+71.84500E-06,+949.18333634E-03,+1.00094219565E+00,+183.98240767E-03,+20.47735028E-03
+71.87000E-06,+1.03837931529E+00,+1.04993717000E+00,+163.25376468E-03,+4.77383286E-03
+71.89500E-06,+957.97730610E-03,+987.12310032E-03,+178.32914140E-03,+10.42709913E-03
+71.92000E-06,+1.03837931529E+00,+1.06878139090E+00,+173.30401583E-03,-4.64827759E-03
+71.94500E-06,+1.23938433826E+00,+1.25094219297E+00,+107.97738336E-03,+376.84798E-06
+71.97000E-06,+1.28084162425E+00,+1.33134420216E+00,+165.13818677E-03,+4.14569216E-03
+71.99500E-06,+1.38888182410E+00,+1.37154520676E+00,+163.88190538E-03,-879.43341E-06
+72.02000E-06,+1.29842956376E+00,+1.35018842306E+00,+245.54019596E-03,+44.97483745E-03
+72.04500E-06,+1.40018835664E+00,+1.34013817192E+00,+163.88190538E-03,+9.17081773E-03
+72.07000E-06,+1.31978634745E+00,+1.29114319757E+00,+164.51004607E-03,+5.40197355E-03
+72.09500E-06,+1.35998735204E+00,+1.37154520676E+00,+183.98240767E-03,+24.87433515E-03
+72.12000E-06,+1.30094212655E+00,+1.33385676495E+00,+183.98240767E-03,+34.29644561E-03
+72.14500E-06,+1.06978635013E+00,+1.09893214435E+00,+259.98743199E-03,+65.07533975E-03
+72.17000E-06,+1.07732403849E+00,+1.08888189320E+00,+202.82662858E-03,+44.34669676E-03
+72.19500E-06,+998.17831069E-03,+1.00973616540E+00,+183.98240767E-03,-15.32666944E-03
+72.22000E-06,+1.05973609898E+00,+1.04993717000E+00,+122.42461939E-03,-35.42717174E-03
+72.24500E-06,+935.36424101E-03,+969.53516081E-03,+183.98240767E-03,+4.77383286E-03
+72.27000E-06,+1.11752504308E+00,+1.04868088860E+00,+144.40954378E-03,+24.24619446E-03
+72.29500E-06,+969.28383864E-03,+998.42963286E-03,+163.88190538E-03,+10.42709913E-03
+72.32000E-06,+1.05722353619E+00,+1.00973616540E+00,+163.88190538E-03,-5.90455899E-03
+72.34500E-06,+1.23938433826E+00,+1.26853013248E+00,+123.68090078E-03,+24.87433515E-03
+72.37000E-06,+1.27958534285E+00,+1.29114319757E+00,+144.40954378E-03,+4.14569216E-03
+72.39500E-06,+1.35998735204E+00,+1.38285173930E+00,+123.68090078E-03,-9.67340317E-03
+72.42000E-06,+1.31978634745E+00,+1.30998741847E+00,+253.70602502E-03,+46.23111885E-03
+72.44500E-06,+1.41777629615E+00,+1.37154520676E+00,+172.67587513E-03,+9.17081773E-03
+72.47000E-06,+1.31978634745E+00,+1.33134420216E+00,+185.23868907E-03,+5.40197355E-03
+72.49500E-06,+1.37129388459E+00,+1.33134420216E+00,+204.08290997E-03,-879.43341E-06
+72.52000E-06,+1.35998735204E+00,+1.29114319757E+00,+182.72612628E-03,+14.19594331E-03
+72.54500E-06,+1.11878132448E+00,+1.09893214435E+00,+271.29396453E-03,+60.67835487E-03
+72.57000E-06,+1.07858031988E+00,+1.04993717000E+00,+203.45476927E-03,+44.97483745E-03
+72.59500E-06,+957.97730610E-03,+940.64068876E-03,+212.87687973E-03,-4.02013690E-03
+72.62000E-06,+1.03837931529E+00,+990.89194450E-03,+134.35929263E-03,-26.00506129E-03
+72.64500E-06,+917.77630150E-03,+969.53516081E-03,+179.58542280E-03,+24.87433515E-03
+72.67000E-06,+1.00069087348E+00,+1.08888189320E+00,+142.52512169E-03,+24.87433515E-03
+72.69500E-06,+986.87177815E-03,+980.84169335E-03,+123.68090078E-03,+4.77383286E-03
+72.72000E-06,+1.05722353619E+00,+1.02858038631E+00,+163.88190538E-03,+24.87433515E-03
+72.74500E-06,+1.27079137310E+00,+1.25973616273E+00,+107.97738336E-03,+13.56780261E-03
+72.77000E-06,+1.24064061965E+00,+1.29239947896E+00,+183.35426698E-03,+4.14569216E-03
+72.79500E-06,+1.35998735204E+00,+1.34265073470E+00,+138.12813681E-03,-6.53269969E-03
+72.82000E-06,+1.27958534285E+00,+1.33134420216E+00,+253.70602502E-03,+46.23111885E-03
+72.84500E-06,+1.40018835664E+00,+1.36275123700E+00,+143.78140308E-03,+24.87433515E-03
+72.87000E-06,+1.24189690105E+00,+1.29239947896E+00,+203.45476927E-03,+24.87433515E-03
+72.89500E-06,+1.34239941254E+00,+1.36023867421E+00,+183.98240767E-03,+33.66830491E-03
+72.92000E-06,+1.27958534285E+00,+1.33134420216E+00,+173.30401583E-03,+35.55272700E-03
+72.94500E-06,+1.08737428964E+00,+1.05873113975E+00,+248.68089944E-03,+65.07533975E-03
+72.97000E-06,+1.11626876169E+00,+1.04993717000E+00,+222.92713087E-03,+26.75875725E-03
+72.99500E-06,+1.00948484324E+00,+1.06124370254E+00,+212.87687973E-03,-41.08043801E-03
