x-axis,1,2
second,Volt,Volt
-2.470000E-03,,
-2.467500E-03,+542.190101E-03,+524.853421E-03
-2.465000E-03,+531.092948E-03,+530.401997E-03
-2.462500E-03,+535.280553E-03,+525.586252E-03
-2.460000E-03,+528.999146E-03,+530.401997E-03
-2.457500E-03,+547.738677E-03,+520.037676E-03
-2.455000E-03,+528.371005E-03,+511.034326E-03
-2.452500E-03,+527.638175E-03,+518.572014E-03
-2.450000E-03,+544.912044E-03,+518.781394E-03
-2.447500E-03,+521.461458E-03,+524.225280E-03
-2.445000E-03,+542.818241E-03,+530.401997E-03
-2.442500E-03,+531.721089E-03,+546.419585E-03
-2.440000E-03,+541.666650E-03,+510.301495E-03
-2.437500E-03,+545.749565E-03,+512.290607E-03
-2.435000E-03,+536.746215E-03,+519.409535E-03
-2.432500E-03,+547.738677E-03,+530.192617E-03
-2.430000E-03,+538.840017E-03,+499.099653E-03
-2.427500E-03,+547.738677E-03,+550.502500E-03
-2.425000E-03,+540.933819E-03,+517.106353E-03
-2.422500E-03,+543.446382E-03,+534.694292E-03
-2.420000E-03,+522.927119E-03,+530.401997E-03
-2.417500E-03,+534.024272E-03,+516.687592E-03
-2.415000E-03,+547.738677E-03,+525.167491E-03
-2.412500E-03,+516.017572E-03,+510.301495E-03
-2.410000E-03,+528.161625E-03,+510.301495E-03
-2.407500E-03,+537.164975E-03,+530.401997E-03
-2.405000E-03,+547.738677E-03,+530.401997E-03
-2.402500E-03,+540.305679E-03,+517.734493E-03
-2.400000E-03,+547.738677E-03,+543.174191E-03
-2.397500E-03,+518.216064E-03,+530.401997E-03
-2.395000E-03,+513.295629E-03,+559.087089E-03
-2.392500E-03,+547.738677E-03,+536.892784E-03
-2.390000E-03,+527.638175E-03,+530.401997E-03
-2.387500E-03,+507.537672E-03,+529.250406E-03
-2.385000E-03,+547.738677E-03,+520.456436E-03
-2.382500E-03,+545.854255E-03,+510.301495E-03
-2.380000E-03,+535.699314E-03,+530.401997E-03
-2.377500E-03,+510.573686E-03,+533.438011E-03
-2.375000E-03,+533.605511E-03,+538.567826E-03
-2.372500E-03,+522.508359E-03,+525.272182E-03
-2.370000E-03,+531.511709E-03,+522.654929E-03
-2.367500E-03,+553.391943E-03,+530.401997E-03
-2.365000E-03,+547.738677E-03,+530.401997E-03
-2.362500E-03,+557.056097E-03,+531.867659E-03
-2.360000E-03,+527.952245E-03,+510.615565E-03
-2.357500E-03,+539.049397E-03,+527.680054E-03
-2.355000E-03,+530.046047E-03,+532.809870E-03
