x-axis,1,2,3
second,Volt,Volt,Volt
-2.470000E-03,,,
-2.467500E-03,+81.982768E-03,+531.616410E-03,+537.688447E-03
-2.465000E-03,+111.086620E-03,+526.067834E-03,+537.688447E-03
-2.462500E-03,+90.986118E-03,+535.071184E-03,+517.587945E-03
-2.460000E-03,+72.246587E-03,+525.335003E-03,+516.226973E-03
-2.457500E-03,+90.986118E-03,+522.613060E-03,+547.424628E-03
-2.455000E-03,+91.718949E-03,+542.713562E-03,+557.056119E-03
-2.452500E-03,+90.986118E-03,+534.443043E-03,+525.858464E-03
-2.450000E-03,+108.259987E-03,+539.886929E-03,+540.515080E-03
-2.447500E-03,+104.909903E-03,+542.713562E-03,+537.688447E-03
-2.445000E-03,+90.986118E-03,+537.793127E-03,+522.508380E-03
-2.442500E-03,+90.986118E-03,+542.713562E-03,+521.670859E-03
-2.440000E-03,+111.086620E-03,+549.727800E-03,+530.674209E-03
-2.437500E-03,+88.997006E-03,+540.724450E-03,+535.699335E-03
-2.435000E-03,+100.094158E-03,+533.605522E-03,+548.680909E-03
-2.432500E-03,+91.090808E-03,+502.617248E-03,+517.587945E-03
-2.430000E-03,+79.784275E-03,+533.814902E-03,+546.587107E-03
-2.427500E-03,+88.787625E-03,+506.909542E-03,+555.590457E-03
-2.425000E-03,+84.181260E-03,+516.122273E-03,+537.688447E-03
-2.422500E-03,+90.986118E-03,+522.613060E-03,+526.172534E-03
-2.420000E-03,+90.986118E-03,+522.613060E-03,+532.977392E-03
-2.417500E-03,+78.213924E-03,+515.284752E-03,+523.974042E-03
-2.415000E-03,+93.603371E-03,+519.995807E-03,+540.305700E-03
-2.412500E-03,+99.466017E-03,+519.472356E-03,+517.587945E-03
-2.410000E-03,+70.885615E-03,+523.136510E-03,+498.534344E-03
-2.407500E-03,+80.412416E-03,+542.713562E-03,+528.161647E-03
-2.405000E-03,+90.986118E-03,+541.143210E-03,+537.688447E-03
-2.402500E-03,+111.086620E-03,+530.046058E-03,+517.587945E-03
-2.400000E-03,+78.213924E-03,+522.613060E-03,+537.688447E-03
-2.397500E-03,+105.747424E-03,+542.713562E-03,+522.927141E-03
-2.395000E-03,+90.986118E-03,+542.713562E-03,+529.103858E-03
-2.392500E-03,+111.086620E-03,+525.858453E-03,+551.298162E-03
-2.390000E-03,+70.885615E-03,+527.010045E-03,+517.587945E-03
-2.387500E-03,+89.834526E-03,+541.561971E-03,+536.536856E-03
-2.385000E-03,+110.877240E-03,+522.613060E-03,+527.742886E-03
-2.382500E-03,+90.986118E-03,+523.555271E-03,+517.587945E-03
-2.380000E-03,+90.986118E-03,+522.613060E-03,+541.666672E-03
-2.377500E-03,+108.050607E-03,+559.778051E-03,+517.587945E-03
-2.375000E-03,+90.986118E-03,+536.746225E-03,+509.422116E-03
-2.372500E-03,+96.115933E-03,+542.713562E-03,+527.847576E-03
-2.370000E-03,+74.759150E-03,+534.966493E-03,+521.461479E-03
-2.367500E-03,+90.986118E-03,+515.389442E-03,+519.158297E-03
-2.365000E-03,+70.885615E-03,+542.713562E-03,+537.688447E-03
-2.362500E-03,+111.086620E-03,+542.713562E-03,+547.005867E-03
-2.360000E-03,+90.672047E-03,+522.613060E-03,+517.902015E-03
-2.357500E-03,+79.574895E-03,+522.613060E-03,+534.966504E-03
-2.355000E-03,+88.578245E-03,+542.713562E-03,+555.381077E-03
-2.352500E-03,+97.895665E-03,+529.522607E-03,+524.183422E-03
-2.350000E-03,+81.982768E-03,+542.713562E-03,+533.186772E-03
-2.347500E-03,+111.086620E-03,+538.211887E-03,+533.186772E-03
-2.345000E-03,+70.885615E-03,+536.118085E-03,+531.092970E-03
-2.342500E-03,+128.779250E-03,+542.713562E-03,+537.688447E-03
-2.340000E-03,+90.986118E-03,+522.613060E-03,+537.688447E-03
-2.337500E-03,+90.986118E-03,+522.927130E-03,+537.374377E-03
-2.335000E-03,+100.303538E-03,+533.396142E-03,+517.587945E-03
-2.332500E-03,+112.866352E-03,+524.392792E-03,+537.688447E-03
-2.330000E-03,+98.209736E-03,+522.613060E-03,+530.464829E-03
-2.327500E-03,+90.986118E-03,+526.486594E-03,+553.915415E-03
-2.325000E-03,+76.015431E-03,+557.684249E-03,+522.717761E-03
-2.322500E-03,+70.885615E-03,+528.580396E-03,+551.821613E-03
-2.320000E-03,+73.921629E-03,+525.649073E-03,+517.587945E-03
