x-axis,1,2,3
second,Volt,Volt,Volt
-2.470000E-03,,,
-2.467500E-03,+567.839179E-03,+573.115570E-03,+557.788949E-03
-2.465000E-03,+567.839179E-03,+569.660797E-03,+544.597995E-03
-2.462500E-03,+575.481558E-03,+573.115570E-03,+557.788949E-03
-2.460000E-03,+549.099648E-03,+555.737011E-03,+539.049419E-03
-2.457500E-03,+587.939681E-03,+563.379390E-03,+567.525130E-03
-2.455000E-03,+586.474020E-03,+514.279725E-03,+558.521780E-03
-2.452500E-03,+579.669162E-03,+564.845051E-03,+569.618933E-03
-2.450000E-03,+567.839179E-03,+584.736173E-03,+557.788949E-03
-2.447500E-03,+574.015896E-03,+565.368502E-03,+563.965666E-03
-2.445000E-03,+578.098811E-03,+568.195135E-03,+557.788949E-03
-2.442500E-03,+587.939681E-03,+553.015068E-03,+593.907040E-03
-2.440000E-03,+574.853417E-03,+559.087095E-03,+577.889452E-03
-2.437500E-03,+533.605511E-03,+573.115570E-03,+539.677559E-03
-2.435000E-03,+587.939681E-03,+553.015068E-03,+555.904527E-03
-2.432500E-03,+527.952245E-03,+592.902002E-03,+557.893640E-03
-2.430000E-03,+558.940519E-03,+561.913728E-03,+566.687609E-03
-2.427500E-03,+585.741189E-03,+557.412053E-03,+595.791462E-03
-2.425000E-03,+574.644037E-03,+546.524281E-03,+564.593807E-03
-2.422500E-03,+567.839179E-03,+557.307363E-03,+546.273037E-03
-2.420000E-03,+567.839179E-03,+568.404515E-03,+573.178397E-03
-2.417500E-03,+547.738677E-03,+553.015068E-03,+564.175047E-03
-2.415000E-03,+550.355930E-03,+570.498318E-03,+577.889452E-03
-2.412500E-03,+579.459782E-03,+541.394465E-03,+566.268849E-03
-2.410000E-03,+567.839179E-03,+553.015068E-03,+558.835851E-03
-2.407500E-03,+567.839179E-03,+562.541869E-03,+556.742048E-03
-2.405000E-03,+550.879380E-03,+571.545219E-03,+577.889452E-03
-2.402500E-03,+573.073685E-03,+560.448066E-03,+570.456454E-03
-2.400000E-03,+564.175025E-03,+556.679222E-03,+557.788949E-03
-2.397500E-03,+567.839179E-03,+558.354264E-03,+592.650758E-03
-2.395000E-03,+562.081223E-03,+558.773025E-03,+557.788949E-03
-2.392500E-03,+587.939681E-03,+586.725286E-03,+557.788949E-03
-2.390000E-03,+583.542697E-03,+560.866827E-03,+577.889452E-03
-2.387500E-03,+567.839179E-03,+573.115570E-03,+538.840038E-03
-2.385000E-03,+557.893618E-03,+573.115570E-03,+567.943891E-03
-2.382500E-03,+587.939681E-03,+572.173359E-03,+596.105532E-03
-2.380000E-03,+567.839179E-03,+585.154934E-03,+581.867676E-03
-2.377500E-03,+584.903668E-03,+573.115570E-03,+571.817425E-03
-2.375000E-03,+553.706014E-03,+561.180897E-03,+543.655784E-03
-2.372500E-03,+562.709363E-03,+563.274700E-03,+557.788949E-03
-2.370000E-03,+555.485745E-03,+573.115570E-03,+541.561981E-03
-2.367500E-03,+549.309029E-03,+580.339188E-03,+544.912065E-03
-2.365000E-03,+569.618911E-03,+556.574532E-03,+559.568681E-03
-2.362500E-03,+567.839179E-03,+553.015068E-03,+557.788949E-03
-2.360000E-03,+567.839179E-03,+553.015068E-03,+558.103020E-03
-2.357500E-03,+565.117236E-03,+584.526793E-03,+557.788949E-03
-2.355000E-03,+567.839179E-03,+573.115570E-03,+595.582081E-03
-2.352500E-03,+574.434657E-03,+553.015068E-03,+571.293974E-03
-2.350000E-03,+594.535159E-03,+588.714398E-03,+562.290624E-03
-2.347500E-03,+587.939681E-03,+568.613895E-03,+577.889452E-03
-2.345000E-03,+567.839179E-03,+566.520093E-03,+550.879402E-03
-2.342500E-03,+587.939681E-03,+555.422941E-03,+575.481579E-03
-2.340000E-03,+576.528459E-03,+561.704348E-03,+575.167509E-03
-2.337500E-03,+587.311541E-03,+572.801500E-03,+577.889452E-03
-2.335000E-03,+567.839179E-03,+563.798150E-03,+568.572031E-03
-2.332500E-03,+567.839179E-03,+553.015068E-03,+577.889452E-03
-2.330000E-03,+542.085411E-03,+553.015068E-03,+572.236185E-03
-2.327500E-03,+567.839179E-03,+556.888602E-03,+541.561981E-03
-2.325000E-03,+577.680050E-03,+567.985755E-03,+562.918765E-03
-2.322500E-03,+561.871843E-03,+573.115570E-03,+557.788949E-03
-2.320000E-03,+570.875193E-03,+570.079557E-03,+560.824963E-03
